participant	trial_num	practice	task	condition	RSVP	RAP	probePos	probe_presence	surprise_sound	surprise_img	probe_response	probe_resp_time	first_fixation_time	trial_start_time	surprise_start_time	probe_start_time	trial_end_time	trial_duration	actualEventTimes	plannedEventTimes	date	framerate	marker_vol	RAP_vol
4	1	FALSE	NN	a	['H', 'A', 'J', 'Z', 'R', 'P', 'M', 'G', 'B', 'E', 'K', 'W', 'S', 'N', 'Y', 'T']	[986, 697, 1029, 2911, 1587, 1456, 1224, 944, 760, 904, 1122, 2448, 1731, 1335, 2670, 1888]	8	Absent	NA	NA	ABSENT	0.7942569255828857	3.0994415283203125e-6	1.9896249771118164	2.5729673703178224	2.9229692776464553	6.1038689613342285	4.114243984222412	[0.020283937454223633, 0.1201179027557373, 1.0871920585632324, 1.2714059352874756, 2.021998882293701, 2.13896107673645, 2.2557129859924316, 2.3725578784942627, 2.4892430305480957, 2.6061179637908936, 2.7228639125823975, 2.8397319316864014, 2.9563660621643066, 3.0731818675994873, 3.1903529167175293, 3.3068249225616455, 3.423532009124756, 3.54065203666687, 3.657059907913208, 3.7739861011505127, 3.8908779621124268, 4.1038689613342285]	[9.5367431640625e-07, 0.11666762033431641, 1.0996676203343163, 1.2663676203343164, 2.016367620334316, 2.133034286994316, 2.249700953654316, 2.3663676203143162, 2.4830342869743163, 2.5997009536343163, 2.7163676202943163, 2.8330342869543164, 2.9497009536143164, 3.0663676202743164, 3.1830342869343164, 3.2997009535943165, 3.4163676202543165, 3.5330342869143165, 3.6497009535743166, 3.7663676202343166, 3.8830342868943166, 4.11636762022765]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	2	FALSE	NV	a	['U', 'K', 'Z', 'N', 'B', 'G', 'M', 'X', 'S', 'J', 'T', 'C', 'H', 'E', 'W', 'A']	[2059, 1122, 2911, 1335, 760, 944, 1224, 4000, 1731, 1029, 1888, 829, 986, 904, 2448, 697]	8	Present	NA	NA	ABSENT	0.7272229194641113	6.089367151260376	8.102615118026733	8.685955365465528	9.03595727279416	12.220237016677856	4.117621898651123	[6.109648942947388, 6.226377010345459, 7.203561067581177, 7.377856016159058, 8.128371953964233, 8.245248079299927, 8.362154006958008, 8.478959083557129, 8.59584093093872, 8.712403059005737, 8.829418897628784, 8.946064949035645, 9.06307601928711, 9.179589033126831, 9.296561002731323, 9.41331696510315, 9.530181884765625, 9.64699101448059, 9.76377010345459, 9.880361080169678, 9.99737000465393, 10.220237016677856]	[6.11636762022765, 6.23303428688765, 7.216034286887649, 7.382734286887649, 8.132734286887649, 8.24940095354765, 8.36606762020765, 8.48273428686765, 8.59940095352765, 8.716067620187651, 8.832734286847652, 8.949400953507652, 9.066067620167653, 9.182734286827653, 9.299400953487654, 9.416067620147654, 9.532734286807655, 9.649400953467655, 9.766067620127656, 9.882734286787656, 9.999400953447656, 10.232734286780989]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	3	FALSE	NN	a	['N', 'H', 'U', 'S', 'J', 'G', 'Y', 'V', 'M', 'A', 'Z', 'K', 'P', 'R', 'C', 'T']	[1335, 986, 2059, 1731, 1029, 944, 2670, 2245, 1224, 697, 2911, 1122, 1456, 1587, 829, 1888]	12	Absent	NA	NA	ABSENT	1.4682948589324951	12.212720155715942	14.21875500679016	15.268762159287537	15.618764066616167	18.336602926254272	4.117847919464111	[12.233001947402954, 12.34982705116272, 13.31992793083191, 13.50114393234253, 14.251784086227417, 14.368571043014526, 14.48543405532837, 14.602035999298096, 14.718934059143066, 14.835830926895142, 14.952554941177368, 15.06933307647705, 15.186131954193115, 15.302772998809814, 15.419760942459106, 15.536453008651733, 15.653178930282593, 15.770180940628052, 15.8868088722229, 16.003791093826294, 16.120440006256104, 16.336602926254272]	[12.232734286780989, 12.34940095344099, 13.33240095344099, 13.49910095344099, 14.24910095344099, 14.365767620100991, 14.482434286760991, 14.599100953420992, 14.715767620080992, 14.832434286740993, 14.949100953400993, 15.065767620060994, 15.182434286720994, 15.299100953380995, 15.415767620040995, 15.532434286700996, 15.649100953360996, 15.765767620020997, 15.882434286680997, 15.999100953340998, 16.115767620000998, 16.349100953334332]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	4	FALSE	AV	a	['U', 'Z', 'M', 'K', 'W', 'S', 'surprise', 'N', 'R', 'X', 'J', 'G', 'P', 'E', 'A', 'Y']	[2059, 2911, 1224, 1122, 2448, 1731, 'stimAuditory/all_stimAuditory/103.wav', 1335, 1587, 4000, 1029, 944, 1456, 904, 697, 2670]	10	Present	stimAuditory/all_stimAuditory/103.wav	NA	PRESENT	0.09721899032592772	18.335834980010983	20.335474967956543	21.15214878713392	21.50215069446255	24.452970027923584	4.117495059967041	[18.35611605644226, 18.472919940948486, 19.436294078826904, 19.624238967895508, 20.37532687187195, 20.474936962127686, 20.59164309501648, 20.708484888076782, 20.825257062911987, 20.942092895507812, 21.0590660572052, 21.175697088241577, 21.29240608215332, 21.409210920333862, 21.526150941848755, 21.642992973327637, 21.75981593132019, 21.876506090164185, 21.993453979492188, 22.11020588874817, 22.227035999298096, 22.452969074249268]	[18.349100953334332, 18.46576761999433, 19.44876761999433, 19.61546761999433, 20.36546761999433, 20.48213428665433, 20.598800953314328, 20.715467619974326, 20.832134286634325, 20.948800953294324, 21.065467619954322, 21.18213428661432, 21.29880095327432, 21.41546761993432, 21.532134286594317, 21.648800953254316, 21.765467619914315, 21.882134286574313, 21.998800953234312, 22.11546761989431, 22.23213428655431, 22.465467619887644]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	5	FALSE	NV	a	['W', 'P', 'C', 'B', 'S', 'V', 'H', 'R', 'Z', 'J', 'K', 'X', 'Y', 'A', 'U', 'M']	[2448, 1456, 829, 760, 1731, 2245, 986, 1587, 2911, 1029, 1122, 4000, 2670, 697, 2059, 1224]	12	Present	NA	NA	PRESENT	1.8218557834625244	24.44237494468689	26.451648950576782	27.501658010422787	27.851658964077103	30.5693359375	4.117686986923218	[24.462657928466797, 24.579231023788452, 25.552659034729004, 25.730683088302612, 26.481528997421265, 26.598222970962524, 26.715022087097168, 26.831743955612183, 26.948540925979614, 27.065274953842163, 27.18219304084778, 27.298950910568237, 27.415787935256958, 27.532495975494385, 27.649489879608154, 27.76616907119751, 27.883035898208618, 27.999743938446045, 28.116513967514038, 28.233350038528442, 28.349984884262085, 28.5693359375]	[24.465467619887644, 24.582134286547642, 25.565134286547643, 25.73183428654764, 26.48183428654764, 26.59850095320764, 26.71516761986764, 26.831834286527638, 26.948500953187636, 27.065167619847635, 27.181834286507634, 27.298500953167633, 27.41516761982763, 27.53183428648763, 27.64850095314763, 27.765167619807627, 27.881834286467626, 27.998500953127625, 28.115167619787623, 28.231834286447622, 28.34850095310762, 28.581834286440955]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	6	FALSE	NV	a	['Z', 'W', 'V', 'B', 'A', 'G', 'K', 'U', 'C', 'N', 'E', 'X', 'M', 'J', 'S', 'Y']	[2911, 2448, 2245, 760, 697, 944, 1122, 2059, 829, 1335, 904, 4000, 1224, 1029, 1731, 2670]	12	Present	NA	NA	PRESENT	0.17052292823791504	30.565627098083496	32.56816601753235	33.61817412370404	33.96817603103267	36.68570399284363	4.117537975311279	[30.585908889770508, 30.70271396636963, 31.669028997421265, 31.853962898254395, 32.60460591316223, 32.7214789390564, 32.838093996047974, 32.95485591888428, 33.07166409492493, 33.18848705291748, 33.30555295944214, 33.42207098007202, 33.53873896598816, 33.655802965164185, 33.77239990234375, 33.88936901092529, 34.006067991256714, 34.122885942459106, 34.239825963974, 34.35642194747925, 34.47346591949463, 34.68570399284363]	[30.581834286440955, 30.698500953100954, 31.681500953100954, 31.848200953100953, 32.59820095310096, 32.71486761976096, 32.83153428642096, 32.94820095308096, 33.064867619740966, 33.18153428640097, 33.29820095306097, 33.41486761972097, 33.531534286380975, 33.64820095304098, 33.76486761970098, 33.88153428636098, 33.998200953020984, 34.114867619680986, 34.23153428634099, 34.34820095300099, 34.46486761966099, 34.69820095299433]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	7	FALSE	NV	a	['Z', 'U', 'S', 'T', 'A', 'R', 'N', 'E', 'X', 'V', 'B', 'G', 'W', 'P', 'C', 'J']	[2911, 2059, 1731, 1888, 697, 1587, 1335, 904, 4000, 2245, 760, 944, 2448, 1456, 829, 1029]	9	Present	NA	NA	PRESENT	0.16775012016296387	36.67196202278137	38.684366941452026	39.384375047643715	39.73437695497235	42.80206990242005	4.117702960968018	[36.69224309921265, 36.809114933013916, 37.785393953323364, 37.96015787124634, 38.711118936538696, 38.82788705825806, 38.944873094558716, 39.06135702133179, 39.17821907997131, 39.29497289657593, 39.41195487976074, 39.528488874435425, 39.64555287361145, 39.76211094856262, 39.879071950912476, 39.99575090408325, 40.11297607421875, 40.22938895225525, 40.34611797332764, 40.462955951690674, 40.57977104187012, 40.802069902420044]	[36.69820095299433, 36.81486761965433, 37.797867619654326, 37.964567619654325, 38.714567619654325, 38.83123428631433, 38.94790095297433, 39.06456761963433, 39.181234286294334, 39.297900952954336, 39.41456761961434, 39.53123428627434, 39.64790095293434, 39.764567619594345, 39.88123428625435, 39.99790095291435, 40.11456761957435, 40.231234286234354, 40.347900952894356, 40.46456761955436, 40.58123428621436, 40.814567619547695]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	8	FALSE	NN	a	['Z', 'S', 'R', 'K', 'J', 'M', 'T', 'B', 'P', 'H', 'A', 'G', 'V', 'C', 'W', 'N']	[2911, 1731, 1587, 1122, 1029, 1224, 1888, 760, 1456, 986, 697, 944, 2245, 829, 2448, 1335]	14	Absent	NA	NA	PRESENT	0.5725278854370117	42.795215129852295	44.80060815811157	46.083949359184686	46.4339515049319	48.91843605041504	4.117827892303467	[42.81549787521362, 42.9323570728302, 43.901761054992676, 44.083595991134644, 44.83430600166321, 44.95105695724487, 45.06789708137512, 45.18462800979614, 45.301536083221436, 45.418214082717896, 45.53502702713013, 45.65183997154236, 45.768661975860596, 45.885523080825806, 46.002110958099365, 46.118870973587036, 46.23589897155762, 46.3526029586792, 46.46948599815369, 46.58629107475281, 46.70285701751709, 46.91843605041504]	[42.814567619547695, 42.9312342862077, 43.914234286207694, 44.08093428620769, 44.83093428620769, 44.947600952867695, 45.0642676195277, 45.1809342861877, 45.2976009528477, 45.414267619507704, 45.53093428616771, 45.64760095282771, 45.76426761948771, 45.88093428614771, 45.997600952807716, 46.11426761946772, 46.23093428612772, 46.34760095278772, 46.464267619447725, 46.58093428610773, 46.69760095276773, 46.93093428610106]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	9	FALSE	NA	a	['H', 'E', 'Y', 'J', 'U', 'Z', 'S', 'A', 'W', 'P', 'G', 'M', 'X', 'V', 'C', 'R']	[986, 904, 2670, 1029, 2059, 2911, 1731, 697, 2448, 1456, 944, 1224, 4000, 2245, 829, 1587]	13	Present	NA	NA	ABSENT	0.49762511253356934	48.918272972106934	50.91699504852295	52.08366982135464	52.43367172868327	55.034801959991455	4.117806911468506	[48.93855404853821, 49.05549907684326, 50.01812505722046, 50.190157890319824, 50.95760107040405, 51.05749702453613, 51.17432904243469, 51.291099071502686, 51.407922983169556, 51.524576902389526, 51.64150404930115, 51.75833797454834, 51.875142097473145, 51.99183797836304, 52.10882091522217, 52.22548294067383, 52.342381954193115, 52.45905089378357, 52.575905084609985, 52.69263696670532, 52.80952787399292, 53.03480291366577]	[48.93093428610106, 49.047600952761066, 50.03060095276106, 50.19730095276106, 50.94730095276106, 51.063967619421064, 51.180634286081066, 51.29730095274107, 51.41396761940107, 51.53063428606107, 51.647300952721075, 51.76396761938108, 51.88063428604108, 51.99730095270108, 52.113967619361084, 52.230634286021086, 52.34730095268109, 52.46396761934109, 52.58063428600109, 52.697300952661095, 52.8139676193211, 53.04730095265443]	2020_Nov_26_1105	59.9822954936454	1	0.375
4	10	FALSE	NA	a	['T', 'A', 'Y', 'H', 'P', 'Z', 'C', 'G', 'J', 'V', 'K', 'X', 'M', 'E', 'R', 'S']	[1888, 697, 2670, 986, 1456, 2911, 829, 944, 1029, 2245, 1122, 4000, 1224, 904, 1587, 1731]	12	Present	NA	NA	PRESENT	0.6055002212524414	55.0249719619751	57.03328204154968	58.08329014772137	58.43329205505	61.15116906166077	4.117887020111084	[55.045254945755005, 55.16212201118469, 56.13449287414551, 56.31328892707825, 57.06401300430298, 57.18071103096008, 57.29758095741272, 57.414413928985596, 57.531195878982544, 57.64794206619263, 57.76482605934143, 57.88153696060181, 57.998286962509155, 58.115243911743164, 58.23202109336853, 58.348742961883545, 58.465436935424805, 58.582321882247925, 58.69928693771362, 58.815860986709595, 58.93257188796997, 59.15116906166077]	[55.04730095265443, 55.163967619314434, 56.14696761931443, 56.31366761931443, 57.06366761931443, 57.18033428597443, 57.297000952634434, 57.413667619294436, 57.53033428595444, 57.64700095261444, 57.76366761927444, 57.880334285934445, 57.99700095259445, 58.11366761925445, 58.23033428591445, 58.347000952574454, 58.46366761923446, 58.58033428589446, 58.69700095255446, 58.81366761921446, 58.930334285874466, 59.1636676192078]	2020_Nov_26_1105	59.9822954936454	1	0.375
