onset	duration	#item	bepoch	ecode	label	diff	dura	b_flags	a_flags	enable	bin	trial_type
29.6194712864923	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-probes
35.882878777073	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-probes
54.1846644023142	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-probes
96.493962055431	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-probes
127.10084271202	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-probes
164.186497972926	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-probes
225.399713085498	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-probes
231.415672356637	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-probes
243.599485537727	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-probes
293.095083418729	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-probes
366.365127833512	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-probes
396.708089707228	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-probes
427.324237861981	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-probes
445.988731498211	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-probes
488.765190445337	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-probes
574.606409355092	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-probes
580.869868432612	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-probes
642.552719101666	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-probes
691.235315890425	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-probes
703.17100401232	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-probes
715.466901044575	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-probes
721.71351770281	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-probes
740.01951912739	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-probes
746.283668180227	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-probes
758.228152591805	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-probes
770.628354833458	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-probes
783.022000040731	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-probes
807.38177396316	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-probes
820.238771867564	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-probes
825.686985582143	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-probes
832.519802546914	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-probes
875.290708733182	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-probes
893.499495047789	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-probes
929.902018859179	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-probes
935.920300497912	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-probes
991.673125706367	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-probes
