participant	trial_num	practice	task	condition	RSVP	RAP	probePos	probe_presence	surprise_sound	surprise_img	probe_response	probe_resp_time	first_fixation_time	trial_start_time	surprise_start_time	probe_start_time	trial_end_time	trial_duration	actualEventTimes	plannedEventTimes	date	framerate	marker_vol	RAP_vol
32	1	FALSE	NA	v	['C', 'N', 'E', 'B', 'Z', 'Y', 'J', 'S', 'R', 'A', 'G', 'P', 'X', 'U', 'T', 'H']	[829, 1335, 904, 760, 2911, 2670, 1029, 1731, 1587, 697, 944, 1456, 4000, 2059, 1888, 986]	13	Present	NA	NA	PRESENT	0.4398508071899414	2.1457672119140625e-6	2.0032689571380615	3.168403148651123	3.5185070037841797	6.1038689613342285	4.100600004196167	[0.006201028823852539, 0.12296509742736816, 1.1073861122131348, 1.2744710445404053, 2.025114059448242, 2.141940116882324, 2.2586770057678223, 2.3755500316619873, 2.492327928543091, 2.6090869903564453, 2.7259840965270996, 2.8427369594573975, 2.9598331451416016, 3.0763790607452393, 3.1929450035095215, 3.309891939163208, 3.426542043685913, 3.543503999710083, 3.660331964492798, 3.7770321369171143, 3.877026081085205, 4.1038689613342285]	[9.5367431640625e-07, 0.11666762034098306, 1.099667620340983, 1.266367620340983, 2.016367620340983, 2.1330342870076495, 2.249700953674316, 2.366367620340983, 2.4830342870076496, 2.5997009536743163, 2.716367620340983, 2.8330342870076497, 2.9497009536743164, 3.066367620340983, 3.18303428700765, 3.2997009536743165, 3.416367620340983, 3.53303428700765, 3.6497009536743166, 3.7663676203409833, 3.88303428700765, 4.116367620340983]	2021_Feb_18_1436	59.86269970627443	1	1
32	2	FALSE	NA	v	['V', 'T', 'W', 'M', 'U', 'J', 'A', 'S', 'B', 'K', 'E', 'P', 'X', 'G', 'R', 'C']	[2245, 1888, 2448, 1224, 2059, 1029, 697, 1731, 760, 1122, 904, 1456, 4000, 944, 1587, 829]	13	Present	NA	NA	PRESENT	0.3886549472808838	6.107006072998047	8.11697506904602	9.283736944198608	9.633687019348145	12.22023606300354	4.1032609939575195	[6.113205909729004, 6.22967004776001, 7.214056968688965, 7.380779027938843, 8.131428956985474, 8.248498916625977, 8.365135908126831, 8.482033967971802, 8.598833084106445, 8.715737104415894, 8.832337141036987, 8.949211120605469, 9.065927982330322, 9.182749032974243, 9.29957103729248, 9.416329145431519, 9.533239126205444, 9.64983606338501, 9.76672101020813, 9.883376121520996, 10.000379085540771, 10.22023606300354]	[6.116367620340983, 6.23303428700765, 7.216034287007649, 7.382734287007649, 8.132734287007649, 8.249400953674316, 8.366067620340983, 8.48273428700765, 8.599400953674317, 8.716067620340985, 8.832734287007652, 8.949400953674319, 9.066067620340986, 9.182734287007653, 9.29940095367432, 9.416067620340987, 9.532734287007655, 9.649400953674322, 9.766067620340989, 9.882734287007656, 9.999400953674323, 10.232734287007656]	2021_Feb_18_1436	59.86269970627443	1	1
32	3	FALSE	NV	v	['E', 'Z', 'S', 'B', 'N', 'T', 'J', 'K', 'C', 'X', 'H', 'U', 'G', 'M', 'A', 'Y']	[904, 2911, 1731, 760, 1335, 1888, 1029, 1122, 829, 4000, 986, 2059, 944, 1224, 697, 2670]	10	Present	NA	NA	PRESENT	0.8330419063568115	12.229727983474731	14.233039140701294	15.05021905899048	15.400094032287598	18.336601972579956	4.103562831878662	[12.235929012298584, 12.352864980697632, 13.337072134017944, 13.504073143005371, 14.254753112792969, 14.37145709991455, 14.488318920135498, 14.60512900352478, 14.721941947937012, 14.838828086853027, 14.95570993423462, 15.072283029556274, 15.189193964004517, 15.305850982666016, 15.422500133514404, 15.539605140686035, 15.65647006034851, 15.77300500869751, 15.889814138412476, 16.00677800178528, 16.123368978500366, 16.336601972579956]	[12.232734287007656, 12.349400953674323, 13.332400953674323, 13.499100953674324, 14.249100953674324, 14.365767620340991, 14.482434287007658, 14.599100953674325, 14.715767620340992, 14.83243428700766, 14.949100953674327, 15.065767620340994, 15.182434287007661, 15.299100953674328, 15.415767620340995, 15.532434287007662, 15.64910095367433, 15.765767620340997, 15.882434287007664, 15.999100953674331, 16.115767620340996, 16.34910095367433]	2021_Feb_18_1436	59.86269970627443	1	1
32	4	FALSE	NA	v	['R', 'H', 'T', 'U', 'M', 'E', 'A', 'N', 'W', 'V', 'B', 'G', 'X', 'C', 'Z', 'K']	[1587, 986, 1888, 2059, 1224, 904, 697, 1335, 2448, 2245, 760, 944, 4000, 829, 2911, 1122]	13	Present	NA	NA	PRESENT	0.3339200019836426	18.336112022399902	20.349220037460327	21.516574144363403	21.86674404144287	24.452969074249268	4.10374903678894	[18.342311143875122, 18.459300994873047, 19.443717002868652, 19.61036205291748, 20.377860069274902, 20.477917909622192, 20.59473991394043, 20.71152091026306, 20.828414916992188, 20.945110082626343, 21.06202006340027, 21.178779125213623, 21.29559898376465, 21.412289142608643, 21.5292010307312, 21.645884037017822, 21.76286792755127, 21.879467010498047, 21.99634099006653, 22.11298108100891, 22.230117082595825, 22.452969074249268]	[18.34910095367433, 18.465767620340998, 19.448767620341, 19.615467620340997, 20.365467620340997, 20.482134287007664, 20.59880095367433, 20.715467620341, 20.832134287007666, 20.948800953674333, 21.065467620341, 21.182134287007667, 21.298800953674334, 21.415467620341, 21.53213428700767, 21.648800953674336, 21.765467620341003, 21.88213428700767, 21.998800953674337, 22.115467620341004, 22.23213428700767, 22.465467620341006]	2021_Feb_18_1436	59.86269970627443	1	1
32	5	FALSE	AV	v	['A', 'T', 'G', 'W', 'U', 'N', 'R', 'surprise', 'E', 'P', 'X', 'Y', 'B', 'S', 'H', 'K']	[697, 1888, 944, 2448, 2059, 1335, 1587, 'stimAuditory/all_stimAuditory/109.wav', 904, 1456, 4000, 2670, 760, 1731, 986, 1122]	11	Present	stimAuditory/all_stimAuditory/109.wav	stimVisual/all_stimVisual/122.jpg	PRESENT	0.7388949394226074	24.459383964538578	26.46582293510437	27.39952802658081	27.749638080596924	30.5693359375	4.10351300239563	[24.465584993362427, 24.582442045211792, 25.566904067993164, 25.733875036239624, 26.48434591293335, 26.601179122924805, 26.718101978302002, 26.834797143936157, 26.9517879486084, 27.068539142608643, 27.185261011123657, 27.30192494392395, 27.418934106826782, 27.535563945770264, 27.652387142181396, 27.769094944000244, 27.885950088500977, 28.002636909484863, 28.119550943374634, 28.23637890815735, 28.353212118148804, 28.569337129592896]	[24.465467620341006, 24.582134287007673, 25.565134287007673, 25.731834287007672, 26.481834287007672, 26.59850095367434, 26.715167620341006, 26.831834287007673, 26.94850095367434, 27.065167620341008, 27.181834287007675, 27.298500953674342, 27.41516762034101, 27.531834287007676, 27.648500953674343, 27.76516762034101, 27.881834287007678, 27.998500953674345, 28.115167620341012, 28.23183428700768, 28.348500953674346, 28.58183428700768]	2021_Feb_18_1436	59.86269970627443	1	1
32	6	FALSE	NN	v	['H', 'Y', 'P', 'E', 'W', 'Z', 'C', 'K', 'V', 'B', 'M', 'R', 'T', 'N', 'G', 'S']	[986, 2670, 1456, 904, 2448, 2911, 829, 1122, 2245, 760, 1224, 1587, 1888, 1335, 944, 1731]	11	Absent	NA	NA	ABSENT	0.4640219211578369	30.582741022109985	32.58224296569824	33.51621198654175	33.86585807800293	36.685702085494995	4.103459119796753	[30.58894109725952, 30.705699920654297, 31.689878940582275, 31.85684299468994, 32.60751414299011, 32.724465131759644, 32.84123706817627, 32.95835614204407, 33.074711084365845, 33.19159412384033, 33.30859708786011, 33.42519211769104, 33.54187202453613, 33.658653020858765, 33.77550506591797, 33.89230394363403, 34.00923013687134, 34.125805139541626, 34.24262499809265, 34.35958194732666, 34.4594349861145, 34.685702085494995]	[30.58183428700768, 30.698500953674348, 31.681500953674348, 31.848200953674347, 32.59820095367435, 32.71486762034102, 32.831534287007685, 32.94820095367435, 33.06486762034102, 33.181534287007686, 33.29820095367435, 33.41486762034102, 33.53153428700769, 33.648200953674355, 33.76486762034102, 33.88153428700769, 33.998200953674356, 34.11486762034102, 34.23153428700769, 34.34820095367436, 34.464867620341025, 34.69820095367436]	2021_Feb_18_1436	59.86269970627443	1	1
32	7	FALSE	NV	v	['Z', 'K', 'R', 'W', 'E', 'J', 'Y', 'V', 'M', 'C', 'A', 'X', 'T', 'B', 'H', 'P']	[2911, 1122, 1587, 2448, 904, 1029, 2670, 2245, 1224, 829, 697, 4000, 1888, 760, 986, 1456]	12	Present	NA	NA	PRESENT	0.5808150768280029	36.689286947250366	38.69854497909546	39.74888610839844	40.09887504577637	42.80206894874573	4.1035239696502686	[36.69548797607422, 36.81211805343628, 37.79652810096741, 37.963359117507935, 38.714030027389526, 38.831002950668335, 38.947654008865356, 39.064330101013184, 39.18133306503296, 39.29797005653381, 39.41493606567383, 39.53155708312988, 39.648590087890625, 39.76507210731506, 39.88208508491516, 39.99885106086731, 40.11563491821289, 40.232330083847046, 40.349092960357666, 40.465893030166626, 40.58281111717224, 40.80206894874573]	[36.69820095367436, 36.814867620341026, 37.79786762034102, 37.96456762034102, 38.71456762034102, 38.83123428700769, 38.947900953674356, 39.06456762034102, 39.18123428700769, 39.29790095367436, 39.414567620341025, 39.53123428700769, 39.64790095367436, 39.764567620341026, 39.88123428700769, 39.99790095367436, 40.11456762034103, 40.231234287007695, 40.34790095367436, 40.46456762034103, 40.581234287007696, 40.81456762034103]	2021_Feb_18_1436	59.86269970627443	1	1
32	8	FALSE	VV	v	['J', 'R', 'M', 'U', 'K', 'T', 'V', 'surprise', 'Z', 'S', 'X', 'Y', 'C', 'W', 'P', 'E']	[1029, 1587, 1224, 2059, 1122, 1888, 2245, 'stimAuditory/all_stimAuditory/107.wav', 2911, 1731, 4000, 2670, 829, 2448, 1456, 904]	11	Present	NA	stimVisual/all_stimVisual/103.jpg	PRESENT	0.45743703842163086	42.81238412857056	44.81501317024231	45.748615980148315	46.0985791683197	48.918437004089355	4.103423833847046	[42.818583965301514, 42.9351921081543, 43.91966414451599, 44.08645009994507, 44.83730697631836, 44.954002141952515, 45.07076907157898, 45.187618017196655, 45.30449891090393, 45.42115902900696, 45.538137912750244, 45.65482306480408, 45.77175807952881, 45.88826107978821, 46.00510311126709, 46.12178301811218, 46.23878598213196, 46.35574293136597, 46.47230410575867, 46.58946895599365, 46.70594310760498, 46.918437004089355]	[42.81456762034103, 42.9312342870077, 43.914234287007694, 44.08093428700769, 44.83093428700769, 44.94760095367436, 45.06426762034103, 45.180934287007695, 45.29760095367436, 45.41426762034103, 45.530934287007696, 45.64760095367436, 45.76426762034103, 45.8809342870077, 45.997600953674365, 46.11426762034103, 46.2309342870077, 46.347600953674366, 46.46426762034103, 46.5809342870077, 46.69760095367437, 46.9309342870077]	2021_Feb_18_1436	59.86269970627443	1	1
32	9	FALSE	NA	v	['M', 'P', 'C', 'U', 'G', 'B', 'E', 'J', 'Z', 'V', 'R', 'S', 'X', 'T', 'N', 'W']	[1224, 1456, 829, 2059, 944, 760, 904, 1029, 2911, 2245, 1587, 1731, 4000, 1888, 1335, 2448]	13	Present	NA	NA	PRESENT	0.4465680122375488	48.918612003326416	50.93121004104614	52.09828495979309	52.44826316833496	55.034801959991455	4.1035919189453125	[48.92481207847595, 49.0415940284729, 50.02613806724548, 50.192803144454956, 50.96028709411621, 51.06048011779785, 51.17737007141113, 51.29422903060913, 51.41099810600281, 51.52765893936157, 51.644510984420776, 51.76121997833252, 51.87819790840149, 51.9948410987854, 52.11164712905884, 52.22836494445801, 52.345041036605835, 52.46201205253601, 52.57893490791321, 52.69550108909607, 52.81242513656616, 53.03480291366577]	[48.9309342870077, 49.04760095367437, 50.030600953674366, 50.197300953674365, 50.947300953674365, 51.06396762034103, 51.1806342870077, 51.297300953674366, 51.41396762034103, 51.5306342870077, 51.64730095367437, 51.763967620341035, 51.8806342870077, 51.99730095367437, 52.113967620341036, 52.2306342870077, 52.34730095367437, 52.46396762034104, 52.580634287007705, 52.69730095367437, 52.81396762034104, 53.04730095367437]	2021_Feb_18_1436	59.86269970627443	1	1
32	10	FALSE	NV	v	['C', 'J', 'N', 'M', 'K', 'Z', 'Y', 'H', 'X', 'W', 'S', 'R', 'V', 'A', 'G', 'P']	[829, 1029, 1335, 1224, 1122, 2911, 2670, 986, 4000, 2448, 1731, 1587, 2245, 697, 944, 1456]	9	Present	NA	NA	PRESENT	0.4271199703216553	55.041959047317505	57.04771900177002	57.74814295768738	58.09810709953308	61.15116906166077	4.103450059890747	[55.04816007614136, 55.16509509086609, 56.14919996261597, 56.3161039352417, 57.067310094833374, 57.18367314338684, 57.30060601234436, 57.41727900505066, 57.534136056900024, 57.65080213546753, 57.76775598526001, 57.884418964385986, 58.00115394592285, 58.11802101135254, 58.23470997810364, 58.35158610343933, 58.468284130096436, 58.585206031799316, 58.70191812515259, 58.81884813308716, 58.93569207191467, 59.15117001533508]	[55.04730095367437, 55.16396762034104, 56.14696762034104, 56.313667620341036, 57.063667620341036, 57.1803342870077, 57.29700095367437, 57.41366762034104, 57.530334287007705, 57.64700095367437, 57.76366762034104, 57.880334287007706, 57.99700095367437, 58.11366762034104, 58.23033428700771, 58.347000953674375, 58.46366762034104, 58.58033428700771, 58.697000953674376, 58.81366762034104, 58.93033428700771, 59.163667620341045]	2021_Feb_18_1436	59.86269970627443	1	1
