participant	trial_num	practice	task	condition	RSVP	RAP	probePos	probe_presence	surprise_sound	surprise_img	probe_response	probe_resp_time	first_fixation_time	trial_start_time	surprise_start_time	probe_start_time	trial_end_time	trial_duration	actualEventTimes	plannedEventTimes	date	framerate	marker_vol	RAP_vol
17	1	FALSE	NA	v	['U', 'C', 'E', 'G', 'Z', 'P', 'M', 'X', 'A', 'H', 'B', 'N', 'V', 'T', 'S', 'Y']	[2059, 829, 904, 944, 2911, 1456, 1224, 4000, 697, 986, 760, 1335, 2245, 1888, 1731, 2670]	8	Present	NA	NA	PRESENT	0.9865550994873048	2.1457672119140625e-6	1.989449977874756	2.570302963256836	2.9207279682159424	6.103869915008545	4.114419937133789	[0.019923925399780273, 0.11966705322265625, 1.1040568351745605, 1.270946979522705, 2.0215299129486084, 2.1385090351104736, 2.2553670406341553, 2.3720219135284424, 2.488905906677246, 2.605545997619629, 2.722327947616577, 2.8393380641937256, 2.9558420181274414, 3.072816848754883, 3.189610004425049, 3.3063859939575195, 3.422945976257324, 3.539928913116455, 3.6566548347473145, 3.773397922515869, 3.890363931655884, 4.103869915008545]	[9.5367431640625e-07, 0.11666762034098306, 1.099667620340983, 1.266367620340983, 2.016367620340983, 2.1330342870076495, 2.249700953674316, 2.366367620340983, 2.4830342870076496, 2.5997009536743163, 2.716367620340983, 2.8330342870076497, 2.9497009536743164, 3.066367620340983, 3.18303428700765, 3.2997009536743165, 3.416367620340983, 3.53303428700765, 3.6497009536743166, 3.7663676203409833, 3.88303428700765, 4.116367620340983]	2021_Feb_01_1110	59.95383003449169	1	1
17	2	FALSE	NV	v	['C', 'H', 'U', 'J', 'Z', 'N', 'M', 'V', 'P', 'X', 'R', 'T', 'B', 'A', 'W', 'G']	[829, 986, 2059, 1029, 2911, 1335, 1224, 2245, 1456, 4000, 1587, 1888, 760, 697, 2448, 944]	10	Present	NA	NA	PRESENT	0.8079051971435547	6.089287042617798	8.102988004684448	8.919870138168335	9.270939111709597	12.22023606300354	4.117248058319092	[6.10920786857605, 6.2260119915008545, 7.2104480266571045, 7.377249002456665, 8.144891023635864, 8.244839906692505, 8.36155390739441, 8.495126962661743, 8.595164060592651, 8.711973905563354, 8.828978061676025, 8.94556999206543, 9.062556982040405, 9.17914891242981, 9.295904874801636, 9.412699937820435, 9.529720067977905, 9.646381855010986, 9.763123035430908, 9.880032062530518, 9.99669098854065, 10.220237016677856]	[6.116367620340983, 6.23303428700765, 7.216034287007649, 7.382734287007649, 8.132734287007649, 8.249400953674316, 8.366067620340983, 8.48273428700765, 8.599400953674317, 8.716067620340985, 8.832734287007652, 8.949400953674319, 9.066067620340986, 9.182734287007653, 9.29940095367432, 9.416067620340987, 9.532734287007655, 9.649400953674322, 9.766067620340989, 9.882734287007656, 9.999400953674323, 10.232734287007656]	2021_Feb_01_1110	59.95383003449169	1	1
17	3	FALSE	NV	v	['N', 'S', 'R', 'W', 'A', 'Z', 'B', 'X', 'P', 'G', 'K', 'T', 'Y', 'M', 'U', 'H']	[1335, 1731, 1587, 2448, 697, 2911, 760, 4000, 1456, 944, 1122, 1888, 2670, 1224, 2059, 986]	8	Present	NA	NA	PRESENT	0.9883880615234376	12.212564945220947	14.219491958618164	14.803025007247925	15.15295696258545	18.336602926254272	4.117110967636108	[12.232486963272095, 12.349348068237305, 13.333592891693115, 13.500699043273926, 14.251301050186157, 14.367985010147095, 14.484971046447754, 14.601536989212036, 14.718477964401245, 14.835270881652832, 14.951936960220337, 15.068790912628174, 15.18554401397705, 15.30239486694336, 15.419086933135986, 15.535984992980957, 15.653015851974487, 15.76976203918457, 15.886452913284302, 16.003298044204712, 16.119855880737305, 16.336601972579956]	[12.232734287007656, 12.349400953674323, 13.332400953674323, 13.499100953674324, 14.249100953674324, 14.365767620340991, 14.482434287007658, 14.599100953674325, 14.715767620340992, 14.83243428700766, 14.949100953674327, 15.065767620340994, 15.182434287007661, 15.299100953674328, 15.415767620340995, 15.532434287007662, 15.64910095367433, 15.765767620340997, 15.882434287007664, 15.999100953674331, 16.115767620340996, 16.34910095367433]	2021_Feb_01_1110	59.95383003449169	1	1
17	4	FALSE	VA	v	['Z', 'V', 'C', 'M', 'G', 'E', 'H', 'surprise', 'N', 'W', 'X', 'P', 'T', 'B', 'K', 'A']	[2911, 2245, 829, 1224, 944, 904, 986, 'stimAuditory/all_stimAuditory/221.wav', 1335, 2448, 4000, 1456, 1888, 760, 1122, 697]	11	Present	NA	stimVisual/all_stimVisual/213.jpg	NONE	-1	18.335761070251465	20.33555006980896	21.26932907104492	21.619372129440308	24.46211004257202	4.1265599727630615	[18.355681896209717, 18.472321033477783, 19.456950902938843, 19.62405490875244, 20.374506950378418, 20.491365909576416, 20.608022928237915, 20.724833965301514, 20.841745853424072, 20.95849299430847, 21.075398921966553, 21.20885992050171, 21.308990955352783, 21.42552399635315, 21.542546033859253, 21.659343957901, 21.77611494064331, 21.893000841140747, 22.00978183746338, 22.126338005065918, 22.22653889656067, 22.45296883583069]	[18.34910095367433, 18.465767620340998, 19.448767620341, 19.615467620340997, 20.365467620340997, 20.482134287007664, 20.59880095367433, 20.715467620341, 20.832134287007666, 20.948800953674333, 21.065467620341, 21.182134287007667, 21.298800953674334, 21.415467620341, 21.53213428700767, 21.648800953674336, 21.765467620341003, 21.88213428700767, 21.998800953674337, 22.115467620341004, 22.23213428700767, 22.465467620341006]	2021_Feb_01_1110	59.95383003449169	1	1
17	5	FALSE	NA	v	['P', 'S', 'W', 'V', 'J', 'R', 'E', 'C', 'B', 'A', 'K', 'N', 'X', 'G', 'U', 'H']	[1456, 1731, 2448, 2245, 1029, 1587, 904, 829, 760, 697, 1122, 1335, 4000, 944, 2059, 986]	13	Present	NA	NA	PRESENT	0.6943910121917725	24.458791971206665	26.45213103294373	27.619086980819706	27.969027996063232	30.5693359375	4.117204904556274	[24.478713989257812, 24.57914900779724, 25.563264846801758, 25.730298042297363, 26.480854034423828, 26.59782385826111, 26.714675903320312, 26.831335067749023, 26.94826889038086, 27.065062046051025, 27.18188786506653, 27.298655033111572, 27.4152410030365, 27.53216791152954, 27.648993968963623, 27.765769004821777, 27.882402896881104, 27.999343872070312, 28.116211891174316, 28.23302984237671, 28.349670886993408, 28.569336891174316]	[24.465467620341006, 24.582134287007673, 25.565134287007673, 25.731834287007672, 26.481834287007672, 26.59850095367434, 26.715167620341006, 26.831834287007673, 26.94850095367434, 27.065167620341008, 27.181834287007675, 27.298500953674342, 27.41516762034101, 27.531834287007676, 27.648500953674343, 27.76516762034101, 27.881834287007678, 27.998500953674345, 28.115167620341012, 28.23183428700768, 28.348500953674346, 28.58183428700768]	2021_Feb_01_1110	59.95383003449169	1	1
17	6	FALSE	NN	v	['M', 'G', 'V', 'N', 'Y', 'K', 'E', 'T', 'P', 'R', 'Z', 'C', 'J', 'U', 'A', 'S']	[1224, 944, 2245, 1335, 2670, 1122, 904, 1888, 1456, 1587, 2911, 829, 1029, 2059, 697, 1731]	9	Absent	NA	NA	ABSENT	0.8428280353546143	30.56593894958496	32.56837296485901	33.26857805252075	33.6189980506897	36.68570303916931	4.117330074310303	[30.58586096763611, 30.701987981796265, 31.686585903167725, 31.85358500480652, 32.604182958602905, 32.72094702720642, 32.83793807029724, 32.954723834991455, 33.071460008621216, 33.18813705444336, 33.30481791496277, 33.42177605628967, 33.538646936416626, 33.65537786483765, 33.77207589149475, 33.888957023620605, 34.005674839019775, 34.122668981552124, 34.23918795585632, 34.35619902610779, 34.4729208946228, 34.685704946517944]	[30.58183428700768, 30.698500953674348, 31.681500953674348, 31.848200953674347, 32.59820095367435, 32.71486762034102, 32.831534287007685, 32.94820095367435, 33.06486762034102, 33.181534287007686, 33.29820095367435, 33.41486762034102, 33.53153428700769, 33.648200953674355, 33.76486762034102, 33.88153428700769, 33.998200953674356, 34.11486762034102, 34.23153428700769, 34.34820095367436, 34.464867620341025, 34.69820095367436]	2021_Feb_01_1110	59.95383003449169	1	1
17	7	FALSE	VV	v	['G', 'S', 'Z', 'K', 'P', 'T', 'Y', 'B', 'surprise', 'C', 'V', 'X', 'N', 'U', 'A', 'R']	[944, 1731, 2911, 1122, 1456, 1888, 2670, 760, 'stimAuditory/all_stimAuditory/216.wav', 829, 2245, 4000, 1335, 2059, 697, 1587]	12	Present	NA	stimVisual/all_stimVisual/104.jpg	ABSENT	0.7920889854431152	36.671793937683105	38.68453001976013	39.735180139541626	40.08539295196533	42.80206894874573	4.117538928985596	[36.69171404838562, 36.808758020401, 37.793022871017456, 37.96000790596008, 38.72730803489685, 38.82734799385071, 38.94412899017334, 39.06097388267517, 39.1778929233551, 39.29450488090515, 39.41151785850525, 39.52836298942566, 39.66165494918823, 39.76189684867859, 39.87869191169739, 39.99547100067139, 40.11205506324768, 40.228983879089355, 40.345874071121216, 40.46259784698486, 40.57957696914673, 40.80206894874573]	[36.69820095367436, 36.814867620341026, 37.79786762034102, 37.96456762034102, 38.71456762034102, 38.83123428700769, 38.947900953674356, 39.06456762034102, 39.18123428700769, 39.29790095367436, 39.414567620341025, 39.53123428700769, 39.64790095367436, 39.764567620341026, 39.88123428700769, 39.99790095367436, 40.11456762034103, 40.231234287007695, 40.34790095367436, 40.46456762034103, 40.581234287007696, 40.81456762034103]	2021_Feb_01_1110	59.95383003449169	1	1
17	8	FALSE	NV	v	['U', 'S', 'R', 'J', 'V', 'C', 'G', 'E', 'N', 'P', 'A', 'X', 'K', 'M', 'H', 'W']	[2059, 1731, 1587, 1029, 2245, 829, 944, 904, 1335, 1456, 697, 4000, 1122, 1224, 986, 2448]	12	Present	NA	NA	PRESENT	0.6686749458312988	42.79524993896485	44.80114197731018	45.851391077041626	46.2017560005188	48.918437004089355	4.117295026779175	[42.81517004966736, 42.93174195289612, 43.9163179397583, 44.08314085006714, 44.83368396759033, 44.95054602622986, 45.06739902496338, 45.184329986572266, 45.30114984512329, 45.41795587539673, 45.53469800949097, 45.65142202377319, 45.768296003341675, 45.88505291938782, 46.0016770362854, 46.118725061416626, 46.235283851623535, 46.35218906402588, 46.46909499168396, 46.58587098121643, 46.702494859695435, 46.918434858322144]	[42.81456762034103, 42.9312342870077, 43.914234287007694, 44.08093428700769, 44.83093428700769, 44.94760095367436, 45.06426762034103, 45.180934287007695, 45.29760095367436, 45.41426762034103, 45.530934287007696, 45.64760095367436, 45.76426762034103, 45.8809342870077, 45.997600953674365, 46.11426762034103, 46.2309342870077, 46.347600953674366, 46.46426762034103, 46.5809342870077, 46.69760095367437, 46.9309342870077]	2021_Feb_01_1110	59.95383003449169	1	1
17	9	FALSE	NN	v	['A', 'T', 'U', 'M', 'P', 'H', 'B', 'Z', 'E', 'S', 'V', 'G', 'R', 'N', 'J', 'W']	[697, 1888, 2059, 1224, 1456, 986, 760, 2911, 904, 1731, 2245, 944, 1587, 1335, 1029, 2448]	12	Absent	NA	NA	ABSENT	1.026163101196289	48.91846513748169	50.917680978775024	51.9678750038147	52.31781911849976	55.03480291366577	4.117121934890747	[48.93840003013611, 49.055187940597534, 50.039363861083984, 50.18944787979126, 50.95744585990906, 51.0738799571991, 51.19049596786499, 51.30749201774597, 51.42433786392212, 51.54111385345459, 51.65775489807129, 51.77457904815674, 51.8915810585022, 52.00828003883362, 52.12507891654968, 52.24173188209534, 52.35854196548462, 52.458569049835205, 52.59233093261719, 52.69216704368591, 52.808982849121094, 53.03480386734009]	[48.9309342870077, 49.04760095367437, 50.030600953674366, 50.197300953674365, 50.947300953674365, 51.06396762034103, 51.1806342870077, 51.297300953674366, 51.41396762034103, 51.5306342870077, 51.64730095367437, 51.763967620341035, 51.8806342870077, 51.99730095367437, 52.113967620341036, 52.2306342870077, 52.34730095367437, 52.46396762034104, 52.580634287007705, 52.69730095367437, 52.81396762034104, 53.04730095367437]	2021_Feb_01_1110	59.95383003449169	1	1
17	10	FALSE	NA	v	['Z', 'Y', 'R', 'K', 'T', 'U', 'J', 'S', 'V', 'A', 'W', 'B', 'X', 'P', 'C', 'N']	[2911, 2670, 1587, 1122, 1888, 2059, 1029, 1731, 2245, 697, 2448, 760, 4000, 1456, 829, 1335]	13	Present	NA	NA	ABSENT	0.6867759227752686	55.02483296394348	57.03404211997986	58.200835943222046	58.550944089889526	61.15117001533508	4.117127895355225	[55.04475402832031, 55.161499977111816, 56.14584493637085, 56.31280493736267, 57.06351685523987, 57.18026089668274, 57.29704189300537, 57.413832902908325, 57.530807971954346, 57.64755702018738, 57.764155864715576, 57.881165981292725, 57.99795889854431, 58.114821910858154, 58.231531858444214, 58.34830689430237, 58.46522092819214, 58.581923961639404, 58.69882583618164, 58.81548595428467, 58.93217492103577, 59.1511709690094]	[55.04730095367437, 55.16396762034104, 56.14696762034104, 56.313667620341036, 57.063667620341036, 57.1803342870077, 57.29700095367437, 57.41366762034104, 57.530334287007705, 57.64700095367437, 57.76366762034104, 57.880334287007706, 57.99700095367437, 58.11366762034104, 58.23033428700771, 58.347000953674375, 58.46366762034104, 58.58033428700771, 58.697000953674376, 58.81366762034104, 58.93033428700771, 59.163667620341045]	2021_Feb_01_1110	59.95383003449169	1	1
