onset	duration	#item	bepoch	ecode	label	diff	dura	b_flags	a_flags	enable	bin	trial_type
63.4912659315761	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-probes
112.854826166517	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-probes
119.342878650176	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-probes
137.018160828793	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-probes
155.501911501216	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-probes
161.987881903385	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-probes
235.260380065192	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-probes
260.225155629098	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-probes
278.492118610757	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-probes
290.152799165587	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-probes
302.886985558551	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-probes
308.886474360762	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-probes
376.041479202688	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-probes
400.541982115472	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-probes
449.669167237433	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-probes
455.787866727014	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-probes
474.63278558527	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-probes
486.646645571005	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-probes
505.030174072393	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-probes
510.811194044523	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-probes
563.067936536767	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-probes
568.961823999727	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-probes
624.681671932075	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-probes
734.946546808249	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-probes
746.96890323388	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-probes
752.984209312352	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-probes
832.388855123076	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-probes
881.735535190975	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-probes
888.104300810639	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-probes
893.630773604496	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-probes
900.117839135202	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-probes
905.901424993973	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-probes
930.394492924853	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-probes
973.291083691466	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-probes
1004.49059389388	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-probes
1010.03339570854	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-probes
26.74655864	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-surprises
32.52843256	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-surprises
38.7581916	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-surprises
51.01168772	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-surprises
57.25684805	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-surprises
63.02347327	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-surprises
69.62177434	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-surprises
82.11103116	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-surprises
87.65735644	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-surprises
100.0211336	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-surprises
106.38766	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-surprises
112.3880097	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-surprises
118.8721027	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-surprises
124.9839138	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-surprises
130.887191	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-surprises
136.5494732	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-surprises
143.0202944	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-surprises
149.3858406	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-surprises
155.0331469	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-surprises
161.5200023	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-surprises
173.6451384	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-surprises
179.6585712	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-surprises
186.1293745	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-surprises
191.9122211	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-surprises
198.5106017	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-surprises
204.5098825	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-surprises
210.5241097	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-surprises
216.4114975	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-surprises
228.9056602	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-surprises
234.7936037	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-surprises
247.5088291	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-surprises
253.2926306	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-surprises
259.7703894	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-surprises
272.0242877	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-surprises
278.0233789	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-surprises
284.2693134	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-surprises
289.6838691	1	37	0	37	Trial37	0	1000	0	0	1	[      1]	dummy-surprises
302.4185169	1	38	0	38	Trial38	0	1000	0	0	1	[      1]	dummy-surprises
308.4168714	1	39	0	39	Trial39	0	1000	0	0	1	[      1]	dummy-surprises
314.4312117	1	40	0	40	Trial40	0	1000	0	0	1	[      1]	dummy-surprises
326.6847332	1	41	0	41	Trial41	0	1000	0	0	1	[      1]	dummy-surprises
333.0445355	1	42	0	42	Trial42	0	1000	0	0	1	[      1]	dummy-surprises
339.16338	1	43	0	43	Trial43	0	1000	0	0	1	[      1]	dummy-surprises
345.29795	1	44	0	44	Trial44	0	1000	0	0	1	[      1]	dummy-surprises
351.2973328	1	45	0	45	Trial45	0	1000	0	0	1	[      1]	dummy-surprises
357.0799761	1	46	0	46	Trial46	0	1000	0	0	1	[      1]	dummy-surprises
363.6793558	1	47	0	47	Trial47	0	1000	0	0	1	[      1]	dummy-surprises
369.5582155	1	48	0	48	Trial48	0	1000	0	0	1	[      1]	dummy-surprises
375.5729097	1	49	0	49	Trial49	0	1000	0	0	1	[      1]	dummy-surprises
382.1555127	1	50	0	50	Trial50	0	1000	0	0	1	[      1]	dummy-surprises
387.9406708	1	51	0	51	Trial51	0	1000	0	0	1	[      1]	dummy-surprises
