onset	duration	#item	bepoch	ecode	label	diff	dura	b_flags	a_flags	enable	bin	trial_type
65.8377575230315	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-probes
90.5730929982949	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-probes
96.7087856595172	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-probes
194.035475380563	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-probes
212.403012500486	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-probes
225.138666767704	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-probes
249.521602907435	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-probes
273.672305343486	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-probes
304.30472103121	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-probes
360.039951103779	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-probes
365.920073631764	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-probes
402.337142269114	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-probes
408.68961243482	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-probes
481.969837714277	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-probes
494.705961986749	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-probes
533.177741224186	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-probes
545.545800035803	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-probes
563.457033940238	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-probes
588.090585574489	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-probes
636.980129419303	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-probes
674.09372912514	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-probes
685.990203341101	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-probes
692.830580993257	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-probes
735.480119191711	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-probes
747.848139313871	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-probes
772.111623427286	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-probes
784.376408614977	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-probes
802.512463609744	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-probes
845.39379416548	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-probes
851.99359169952	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-probes
864.010165393141	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-probes
869.913608588313	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-probes
882.161701902427	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-probes
888.410076173837	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-probes
900.89853347052	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-probes
925.042951019245	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-probes
15.88202416	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-surprises
22.13843796	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-surprises
28.84944356	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-surprises
34.73741217	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-surprises
46.52153196	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-surprises
53.12201946	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-surprises
65.36774627	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-surprises
71.38530401	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-surprises
83.51960925	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-surprises
90.10398067	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-surprises
96.23983717	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-surprises
101.7837154	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-surprises
108.0151565	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-surprises
