participant	trial_num	practice	task	condition	RSVP	RAP	probePos	probe_presence	surprise_sound	surprise_img	probe_response	probe_resp_time	first_fixation_time	trial_start_time	surprise_start_time	probe_start_time	trial_end_time	trial_duration	actualEventTimes	plannedEventTimes	date	framerate	marker_vol	RAP_vol
5	1	FALSE	NA	a	['G', 'N', 'R', 'H', 'K', 'J', 'W', 'U', 'Y', 'V', 'C', 'X', 'T', 'E', 'Z', 'P']	[944, 1335, 1587, 986, 1122, 1029, 2448, 2059, 2670, 2245, 829, 4000, 1888, 904, 2911, 1456]	12	Present	NA	NA	PRESENT	0.549591064453125	1.9073486328125e-6	2.000680923461914	3.050690936982236	3.400692844310869	6.1038689613342285	4.1031880378723145	[0.009068012237548828, 0.12560391426086426, 1.087190866470337, 1.2599198818206787, 2.0274930000305176, 2.1275148391723633, 2.244386911392212, 2.361268997192383, 2.4778900146484375, 2.594836950302124, 2.7114150524139404, 2.828356981277466, 2.9450008869171143, 3.0620200634002686, 3.1786739826202393, 3.2956559658050537, 3.412255048751831, 3.528970956802368, 3.6458919048309326, 3.7625279426574707, 3.8794710636138916, 4.1038689613342285]	[9.5367431640625e-07, 0.11666762033431641, 1.0996676203343163, 1.2663676203343164, 2.016367620334316, 2.133034286994316, 2.249700953654316, 2.3663676203143162, 2.4830342869743163, 2.5997009536343163, 2.7163676202943163, 2.8330342869543164, 2.9497009536143164, 3.0663676202743164, 3.1830342869343164, 3.2997009535943165, 3.4163676202543165, 3.5330342869143165, 3.6497009535743166, 3.7663676202343166, 3.8830342868943166, 4.11636762022765]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	2	FALSE	NV	a	['Z', 'N', 'P', 'R', 'B', 'S', 'W', 'J', 'U', 'T', 'Y', 'C', 'X', 'A', 'V', 'G']	[2911, 1335, 1456, 1587, 760, 1731, 2448, 1029, 2059, 1888, 2670, 829, 4000, 697, 2245, 944]	13	Present	NA	NA	PRESENT	0.8185908794403076	6.106044054031372	8.114075899124146	9.280750671955834	9.630752579284469	12.220237016677856	4.106161117553711	[6.115109920501709, 6.231981039047241, 7.203557968139648, 7.383146047592163, 8.133945941925049, 8.250686883926392, 8.36755084991455, 8.484421014785767, 8.601253032684326, 8.717973947525024, 8.83476996421814, 8.951658964157104, 9.068449020385742, 9.18549394607544, 9.302127838134766, 9.418612003326416, 9.53554105758667, 9.652282953262329, 9.768972873687744, 9.885724067687988, 10.002712965011597, 10.220234870910645]	[6.11636762022765, 6.23303428688765, 7.216034286887649, 7.382734286887649, 8.132734286887649, 8.24940095354765, 8.36606762020765, 8.48273428686765, 8.59940095352765, 8.716067620187651, 8.832734286847652, 8.949400953507652, 9.066067620167653, 9.182734286827653, 9.299400953487654, 9.416067620147654, 9.532734286807655, 9.649400953467655, 9.766067620127656, 9.882734286787656, 9.999400953447656, 10.232734286780989]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	3	FALSE	NV	a	['U', 'Z', 'Y', 'C', 'R', 'K', 'N', 'V', 'G', 'J', 'X', 'A', 'W', 'M', 'B', 'T']	[2059, 2911, 2670, 829, 1587, 1122, 1335, 2245, 944, 1029, 4000, 697, 2448, 1224, 760, 1888]	11	Present	NA	NA	PRESENT	1.0557639598846436	12.22917890548706	14.23011302947998	15.163453276898776	15.513455184227409	18.336601972579956	4.106488943099976	[12.238245010375977, 12.355212926864624, 13.319928884506226, 13.506285905838013, 14.25729489326477, 14.374106884002686, 14.49082088470459, 14.607647895812988, 14.724411964416504, 14.841063022613525, 14.957864046096802, 15.057886838912964, 15.17467188835144, 15.291523933410645, 15.408313035964966, 15.525110960006714, 15.641963005065918, 15.758601903915405, 15.875351905822754, 15.992177963256836, 16.109012842178345, 16.33660387992859]	[12.232734286780989, 12.34940095344099, 13.33240095344099, 13.49910095344099, 14.24910095344099, 14.365767620100991, 14.482434286760991, 14.599100953420992, 14.715767620080992, 14.832434286740993, 14.949100953400993, 15.065767620060994, 15.182434286720994, 15.299100953380995, 15.415767620040995, 15.532434286700996, 15.649100953360996, 15.765767620020997, 15.882434286680997, 15.999100953340998, 16.115767620000998, 16.349100953334332]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	4	FALSE	NV	a	['T', 'R', 'H', 'U', 'A', 'P', 'G', 'B', 'S', 'Y', 'Z', 'V', 'X', 'K', 'M', 'C']	[1888, 1587, 986, 2059, 697, 1456, 944, 760, 1731, 2670, 2911, 2245, 4000, 1122, 1224, 829]	13	Present	NA	NA	NONE	-1	18.33585286140442	20.34653401374817	21.51320854816128	21.863210693908492	24.467979907989506	4.121445894241333	[18.344918966293335, 18.461616039276123, 19.436295986175537, 19.61333394050598, 20.363558053970337, 20.48060894012451, 20.59714984893799, 20.71415686607361, 20.830697059631348, 20.94780683517456, 21.064476013183594, 21.18125605583191, 21.29813003540039, 21.414716005325317, 21.53169298171997, 21.64827299118042, 21.765251874923706, 21.88179898262024, 21.998755931854248, 22.115485906600952, 22.23244285583496, 22.452970027923584]	[18.349100953334332, 18.46576761999433, 19.44876761999433, 19.61546761999433, 20.36546761999433, 20.48213428665433, 20.598800953314328, 20.715467619974326, 20.832134286634325, 20.948800953294324, 21.065467619954322, 21.18213428661432, 21.29880095327432, 21.41546761993432, 21.532134286594317, 21.648800953254316, 21.765467619914315, 21.882134286574313, 21.998800953234312, 22.11546761989431, 22.23213428655431, 22.465467619887644]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	5	FALSE	NN	a	['T', 'E', 'Y', 'C', 'H', 'B', 'M', 'W', 'P', 'U', 'K', 'A', 'Z', 'S', 'J', 'G']	[1888, 904, 2670, 829, 986, 760, 1224, 2448, 1456, 2059, 1122, 697, 2911, 1731, 1029, 944]	13	Absent	NA	NA	ABSENT	0.3606269359588623	24.47584295272827	26.463114976882935	27.62979070338894	27.97979356439189	30.569336891174316	4.106221914291382	[24.484909057617188, 24.584944009780884, 25.552660942077637, 25.73604106903076, 26.486815929412842, 26.603524923324585, 26.720399856567383, 26.837352991104126, 26.954203844070435, 27.070689916610718, 27.187785863876343, 27.304690837860107, 27.42131805419922, 27.53817105293274, 27.654708862304688, 27.77176785469055, 27.88844084739685, 28.005308866500854, 28.121981859207153, 28.23861789703369, 28.355674028396606, 28.5693359375]	[24.465467619887644, 24.582134286547642, 25.565134286547643, 25.73183428654764, 26.48183428654764, 26.59850095320764, 26.71516761986764, 26.831834286527638, 26.948500953187636, 27.065167619847635, 27.181834286507634, 27.298500953167633, 27.41516761982763, 27.53183428648763, 27.64850095314763, 27.765167619807627, 27.881834286467626, 27.998500953127625, 28.115167619787623, 28.231834286447622, 28.34850095310762, 28.581834286440955]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	6	FALSE	NA	a	['H', 'T', 'S', 'M', 'J', 'P', 'G', 'C', 'Y', 'X', 'Z', 'N', 'V', 'A', 'K', 'R']	[986, 1888, 1731, 1224, 1029, 1456, 944, 829, 2670, 4000, 2911, 1335, 2245, 697, 1122, 1587]	10	Present	NA	NA	PRESENT	0.7820308208465576	30.582520961761475	32.579118967056274	33.395793501489386	33.7457956472366	36.68570399284363	4.1065850257873535	[30.591588020324707, 30.69124984741211, 31.66902804374695, 31.842550039291382, 32.59325289726257, 32.71022987365723, 32.8268358707428, 32.94384694099426, 33.06050205230713, 33.17742705345154, 33.29407501220703, 33.410868883132935, 33.527567863464355, 33.64463996887207, 33.76132297515869, 33.87816500663757, 33.99506497383118, 34.11159086227417, 34.22835993766785, 34.345130920410156, 34.46208691596985, 34.68570399284363]	[30.581834286440955, 30.698500953100954, 31.681500953100954, 31.848200953100953, 32.59820095310096, 32.71486761976096, 32.83153428642096, 32.94820095308096, 33.064867619740966, 33.18153428640097, 33.29820095306097, 33.41486761972097, 33.531534286380975, 33.64820095304098, 33.76486761970098, 33.88153428636098, 33.998200953020984, 34.114867619680986, 34.23153428634099, 34.34820095300099, 34.46486761966099, 34.69820095299433]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	7	FALSE	VA	a	['Z', 'M', 'A', 'U', 'N', 'S', 'Y', 'C', 'surprise', 'R', 'T', 'X', 'B', 'H', 'E', 'V']	[2911, 1224, 697, 2059, 1335, 1731, 2670, 829, 'stimAuditory/all_stimAuditory/217.wav', 1587, 1888, 4000, 760, 986, 904, 2245]	12	Present	NA	NA	ABSENT	1.9066340923309328	36.68864703178406	38.695740938186646	39.74574785226544	40.09574999801265	42.80206990242005	4.106328964233398	[36.69771194458008, 36.814724922180176, 37.785390853881836, 37.965736865997314, 38.716532945632935, 38.833417892456055, 38.95024585723877, 39.06702494621277, 39.183714866638184, 39.300703048706055, 39.41727304458618, 39.5339560508728, 39.65097188949585, 39.76760292053223, 39.88453388214111, 40.00123190879822, 40.118130922317505, 40.23519206047058, 40.3515419960022, 40.468416929244995, 40.58532905578613, 40.80207085609436]	[36.69820095299433, 36.81486761965433, 37.797867619654326, 37.964567619654325, 38.714567619654325, 38.83123428631433, 38.94790095297433, 39.06456761963433, 39.181234286294334, 39.297900952954336, 39.41456761961434, 39.53123428627434, 39.64790095293434, 39.764567619594345, 39.88123428625435, 39.99790095291435, 40.11456761957435, 40.231234286234354, 40.347900952894356, 40.46456761955436, 40.58123428621436, 40.814567619547695]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	8	FALSE	NN	a	['K', 'P', 'C', 'Z', 'S', 'R', 'E', 'H', 'N', 'B', 'T', 'J', 'Y', 'W', 'V', 'A']	[1122, 1456, 829, 2911, 1731, 1587, 904, 986, 1335, 760, 1888, 1029, 2670, 2448, 2245, 697]	9	Absent	NA	NA	ABSENT	0.9438130855560304	42.812052965164185	44.811903953552246	45.511912059743935	45.86191396707257	48.918437004089355	4.106533050537109	[42.821117877960205, 42.93782091140747, 43.901761054992676, 44.08904004096985, 44.839762926101685, 44.939805030822754, 45.05662202835083, 45.17333698272705, 45.290098905563354, 45.406986951828, 45.52373790740967, 45.6404869556427, 45.757277965545654, 45.874099016189575, 45.990901947021484, 46.107861042022705, 46.22438597679138, 46.34122705459595, 46.45817303657532, 46.57501196861267, 46.69171595573425, 46.91843605041504]	[42.814567619547695, 42.9312342862077, 43.914234286207694, 44.08093428620769, 44.83093428620769, 44.947600952867695, 45.0642676195277, 45.1809342861877, 45.2976009528477, 45.414267619507704, 45.53093428616771, 45.64760095282771, 45.76426761948771, 45.88093428614771, 45.997600952807716, 46.11426761946772, 46.23093428612772, 46.34760095278772, 46.464267619447725, 46.58093428610773, 46.69760095276773, 46.93093428610106]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	9	FALSE	NV	a	['H', 'T', 'M', 'Z', 'A', 'S', 'V', 'U', 'E', 'Y', 'G', 'K', 'X', 'N', 'B', 'J']	[986, 1888, 1224, 2911, 697, 1731, 2245, 2059, 904, 2670, 944, 1122, 4000, 1335, 760, 1029]	13	Present	NA	NA	PRESENT	0.47648000717163086	48.918253898620605	50.92814803123474	52.09482256564785	52.444824711395064	55.03480291366577	4.10665488243103	[48.92732000350952, 49.04433584213257, 50.01812386512756, 50.195950984954834, 50.946228981018066, 51.0630898475647, 51.1798038482666, 51.29668092727661, 51.41334295272827, 51.53014302253723, 51.646968841552734, 51.76397705078125, 51.88075494766235, 51.99741983413696, 52.11430788040161, 52.23093390464783, 52.3479208946228, 52.46449398994446, 52.581339836120605, 52.69814991950989, 52.814931869506836, 53.03480100631714]	[48.93093428610106, 49.047600952761066, 50.03060095276106, 50.19730095276106, 50.94730095276106, 51.063967619421064, 51.180634286081066, 51.29730095274107, 51.41396761940107, 51.53063428606107, 51.647300952721075, 51.76396761938108, 51.88063428604108, 51.99730095270108, 52.113967619361084, 52.230634286021086, 52.34730095268109, 52.46396761934109, 52.58063428600109, 52.697300952661095, 52.8139676193211, 53.04730095265443]	2020_Nov_26_1249	59.97397598355054	1	0.375
5	10	FALSE	NA	a	['B', 'Z', 'V', 'U', 'T', 'E', 'G', 'R', 'M', 'J', 'Y', 'N', 'A', 'X', 'P', 'H']	[760, 2911, 2245, 2059, 1888, 904, 944, 1587, 1224, 1029, 2670, 1335, 697, 4000, 1456, 986]	14	Present	NA	NA	PRESENT	1.209099054336548	55.04153895378113	57.04478096961975	58.328122170692865	58.67812431644008	61.15117001533508	4.106389045715332	[55.05060386657715, 55.167479038238525, 56.1344940662384, 56.318541049957275, 57.06949996948242, 57.186168909072876, 57.30306601524353, 57.41998600959778, 57.53677701950073, 57.6533989906311, 57.77020788192749, 57.887024879455566, 58.00387501716614, 58.12057089805603, 58.23725891113281, 58.354289054870605, 58.47089505195618, 58.58763098716736, 58.704411029815674, 58.821250915527344, 58.938299894332886, 59.15116786956787]	[55.04730095265443, 55.163967619314434, 56.14696761931443, 56.31366761931443, 57.06366761931443, 57.18033428597443, 57.297000952634434, 57.413667619294436, 57.53033428595444, 57.64700095261444, 57.76366761927444, 57.880334285934445, 57.99700095259445, 58.11366761925445, 58.23033428591445, 58.347000952574454, 58.46366761923446, 58.58033428589446, 58.69700095255446, 58.81366761921446, 58.930334285874466, 59.1636676192078]	2020_Nov_26_1249	59.97397598355054	1	0.375
