onset	duration	#item	bepoch	ecode	label	diff	dura	b_flags	a_flags	enable	bin	trial_type
64.081882954917	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-probes
95.0553788419247	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-probes
100.964294450675	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-probes
144.012094147943	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-probes
150.400649144604	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-probes
162.45788617469	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-probes
187.052938295683	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-probes
192.864122923916	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-probes
199.236696100001	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-probes
211.759251003514	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-probes
217.443421737523	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-probes
235.889565856248	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-probes
254.688234836804	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-probes
290.758637615563	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-probes
297.263947793964	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-probes
345.978188374363	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-probes
444.600050992126	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-probes
450.408461671005	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-probes
461.503034057746	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-probes
485.85889764491	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-probes
556.883737042781	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-probes
563.605399255791	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-probes
575.541771452156	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-probes
667.561931481996	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-probes
710.838728885278	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-probes
741.208549810611	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-probes
747.380882566243	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-probes
833.085709106008	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-probes
845.51873512277	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-probes
851.788557199048	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-probes
913.150107977664	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-probes
931.605790131813	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-probes
968.285276894215	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-probes
992.379076008293	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-probes
999.112904158425	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-probes
1035.88775526002	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-probes
8.60435833672518	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-surprises
15.1446726299637	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-surprises
20.8123727685238	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-surprises
26.7133302423344	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-surprises
32.8773209824347	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-surprises
45.1659416828847	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-surprises
51.328769535812	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-surprises
57.7175259010573	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-surprises
63.7453881008091	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-surprises
76.3785808997087	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-surprises
82.2860650929415	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-surprises
94.7189954386477	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-surprises
100.626850471287	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-surprises
112.916554034034	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-surprises
119.421738322969	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-surprises
125.566860697102	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-surprises
131.699250473795	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-surprises
137.414983744684	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-surprises
143.675291210663	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-surprises
150.065150248923	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-surprises
155.846220693193	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-surprises
162.113786642023	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-surprises
173.931160867813	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-surprises
180.695288091148	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-surprises
186.7165134696	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-surprises
192.519680284032	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-surprises
198.893187659479	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-surprises
205.020053293503	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-surprises
211.437883843206	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-surprises
217.09696206832	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-surprises
223.496525852246	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-surprises
229.407358508067	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-surprises
235.542044262823	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-surprises
241.694856424013	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-surprises
248.185022363625	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-surprises
254.34477228657	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-surprises
260.127206321846	1	37	0	37	Trial37	0	1000	0	0	1	[      1]	dummy-surprises
266.42238275784	1	38	0	38	Trial38	0	1000	0	0	1	[      1]	dummy-surprises
272.680664938773	1	39	0	39	Trial39	0	1000	0	0	1	[      1]	dummy-surprises
278.229911978879	1	40	0	40	Trial40	0	1000	0	0	1	[      1]	dummy-surprises
290.4162109096	1	41	0	41	Trial41	0	1000	0	0	1	[      1]	dummy-surprises
