onset	duration	#item	bepoch	ecode	label	diff	dura	b_flags	a_flags	enable	bin	trial_type
28.3729211543316	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-probes
53.3562454159993	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-probes
77.0412200407377	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-probes
101.547283656592	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-probes
120.194396011592	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-probes
126.531699460964	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-probes
144.581747227189	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-probes
168.865938624424	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-probes
199.355748542125	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-probes
236.279438479477	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-probes
241.916865759965	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-probes
272.175387001579	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-probes
278.728925488552	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-probes
333.62524043893	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-probes
351.788702629848	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-probes
382.159726220946	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-probes
400.920238025206	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-probes
497.799893962924	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-probes
504.583707075206	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-probes
671.190911056911	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-probes
689.468060795902	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-probes
762.658007494861	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-probes
823.393172395716	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-probes
860.581341323773	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-probes
890.604764424278	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-probes
903.135418899368	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-probes
927.638818076595	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-probes
933.276342578547	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-probes
945.593008331052	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-probes
970.336469173606	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-probes
1006.68117462446	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-probes
1019.22422329122	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-probes
1043.62445813368	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-probes
1049.71691752494	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-probes
1055.83168603333	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-probes
1080.19860410197	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-probes
27.90562515	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	dummy-surprises
34.24244416	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	dummy-surprises
40.21417992	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	dummy-surprises
46.32208659	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	dummy-surprises
52.88899933	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	dummy-surprises
64.84806053	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	dummy-surprises
70.46717951	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	dummy-surprises
76.57304381	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	dummy-surprises
83.38109883	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	dummy-surprises
88.88328511	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	dummy-surprises
95.10925477	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	dummy-surprises
101.0800568	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	dummy-surprises
113.7394736	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	dummy-surprises
119.727138	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	dummy-surprises
126.064542	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	dummy-surprises
138.0225043	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	dummy-surprises
144.1061677	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	dummy-surprises
149.7516332	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	dummy-surprises
156.3199667	1	19	0	19	Trial19	0	1000	0	0	1	[      1]	dummy-surprises
162.1722701	1	20	0	20	Trial20	0	1000	0	0	1	[      1]	dummy-surprises
168.3985639	1	21	0	21	Trial21	0	1000	0	0	1	[      1]	dummy-surprises
174.7139621	1	22	0	22	Trial22	0	1000	0	0	1	[      1]	dummy-surprises
180.7018034	1	23	0	23	Trial23	0	1000	0	0	1	[      1]	dummy-surprises
186.3473359	1	24	0	24	Trial24	0	1000	0	0	1	[      1]	dummy-surprises
192.4304901	1	25	0	25	Trial25	0	1000	0	0	1	[      1]	dummy-surprises
198.887521	1	26	0	26	Trial26	0	1000	0	0	1	[      1]	dummy-surprises
204.9726712	1	27	0	27	Trial27	0	1000	0	0	1	[      1]	dummy-surprises
217.0672389	1	28	0	28	Trial28	0	1000	0	0	1	[      1]	dummy-surprises
223.0392673	1	29	0	29	Trial29	0	1000	0	0	1	[      1]	dummy-surprises
235.8124907	1	30	0	30	Trial30	0	1000	0	0	1	[      1]	dummy-surprises
241.4510193	1	31	0	31	Trial31	0	1000	0	0	1	[      1]	dummy-surprises
253.5304846	1	32	0	32	Trial32	0	1000	0	0	1	[      1]	dummy-surprises
259.5177599	1	33	0	33	Trial33	0	1000	0	0	1	[      1]	dummy-surprises
271.7081782	1	34	0	34	Trial34	0	1000	0	0	1	[      1]	dummy-surprises
278.2613915	1	35	0	35	Trial35	0	1000	0	0	1	[      1]	dummy-surprises
284.6018173	1	36	0	36	Trial36	0	1000	0	0	1	[      1]	dummy-surprises
290.3574138	1	37	0	37	Trial37	0	1000	0	0	1	[      1]	dummy-surprises
296.2102772	1	38	0	38	Trial38	0	1000	0	0	1	[      1]	dummy-surprises
302.8997353	1	39	0	39	Trial39	0	1000	0	0	1	[      1]	dummy-surprises
308.521794	1	40	0	40	Trial40	0	1000	0	0	1	[      1]	dummy-surprises
314.5087795	1	41	0	41	Trial41	0	1000	0	0	1	[      1]	dummy-surprises
320.848097	1	42	0	42	Trial42	0	1000	0	0	1	[      1]	dummy-surprises
333.1585596	1	43	0	43	Trial43	0	1000	0	0	1	[      1]	dummy-surprises
338.8929195	1	44	0	44	Trial44	0	1000	0	0	1	[      1]	dummy-surprises
345.4612188	1	45	0	45	Trial45	0	1000	0	0	1	[      1]	dummy-surprises
351.3374879	1	46	0	46	Trial46	0	1000	0	0	1	[      1]	dummy-surprises
357.7715435	1	47	0	47	Trial47	0	1000	0	0	1	[      1]	dummy-surprises
363.6484798	1	48	0	48	Trial48	0	1000	0	0	1	[      1]	dummy-surprises
369.7325518	1	49	0	49	Trial49	0	1000	0	0	1	[      1]	dummy-surprises
375.7202839	1	50	0	50	Trial50	0	1000	0	0	1	[      1]	dummy-surprises
381.69229	1	51	0	51	Trial51	0	1000	0	0	1	[      1]	dummy-surprises
393.6701824	1	52	0	52	Trial52	0	1000	0	0	1	[      1]	dummy-surprises
400.453189	1	53	0	53	Trial53	0	1000	0	0	1	[      1]	dummy-surprises
406.0924331	1	54	0	54	Trial54	0	1000	0	0	1	[      1]	dummy-surprises
418.6325278	1	55	0	55	Trial55	0	1000	0	0	1	[      1]	dummy-surprises
424.51064710000003	1	56	0	56	Trial56	0	1000	0	0	1	[      1]	dummy-surprises
430.4826194	1	57	0	57	Trial57	0	1000	0	0	1	[      1]	dummy-surprises
436.4718075	1	58	0	58	Trial58	0	1000	0	0	1	[      1]	dummy-surprises
442.6753259	1	59	0	59	Trial59	0	1000	0	0	1	[      1]	dummy-surprises
449.2436629	1	60	0	60	Trial60	0	1000	0	0	1	[      1]	dummy-surprises
454.8816719	1	61	0	61	Trial61	0	1000	0	0	1	[      1]	dummy-surprises
461.4360433	1	62	0	62	Trial62	0	1000	0	0	1	[      1]	dummy-surprises
473.6277754	1	63	0	63	Trial63	0	1000	0	0	1	[      1]	dummy-surprises
479.6155356	1	64	0	64	Trial64	0	1000	0	0	1	[      1]	dummy-surprises
485.4916288	1	65	0	65	Trial65	0	1000	0	0	1	[      1]	dummy-surprises
491.4565614	1	66	0	66	Trial66	0	1000	0	0	1	[      1]	dummy-surprises
497.3327603	1	67	0	67	Trial67	0	1000	0	0	1	[      1]	dummy-surprises
504.1175932	1	68	0	68	Trial68	0	1000	0	0	1	[      1]	dummy-surprises
509.6440318	1	69	0	69	Trial69	0	1000	0	0	1	[      1]	dummy-surprises
603.8734166	1	70	0	70	Trial70	0	1000	0	0	1	[      1]	dummy-surprises
610.2113823	1	71	0	71	Trial71	0	1000	0	0	1	[      1]	dummy-surprises
615.8333906	1	72	0	72	Trial72	0	1000	0	0	1	[      1]	dummy-surprises
622.0524609	1	73	0	73	Trial73	0	1000	0	0	1	[      1]	dummy-surprises
628.2720907	1	74	0	74	Trial74	0	1000	0	0	1	[      1]	dummy-surprises
640.3517616	1	75	0	75	Trial75	0	1000	0	0	1	[      1]	dummy-surprises
646.6744971	1	76	0	76	Trial76	0	1000	0	0	1	[      1]	dummy-surprises
652.8937306	1	77	0	77	Trial77	0	1000	0	0	1	[      1]	dummy-surprises
658.865644	1	78	0	78	Trial78	0	1000	0	0	1	[      1]	dummy-surprises
670.7237273	1	79	0	79	Trial79	0	1000	0	0	1	[      1]	dummy-surprises
676.8084707	1	80	0	80	Trial80	0	1000	0	0	1	[      1]	dummy-surprises
682.6854686	1	81	0	81	Trial81	0	1000	0	0	1	[      1]	dummy-surprises
689.0077854	1	82	0	82	Trial82	0	1000	0	0	1	[      1]	dummy-surprises
695.2273793	1	83	0	83	Trial83	0	1000	0	0	1	[      1]	dummy-surprises
701.0967975	1	84	0	84	Trial84	0	1000	0	0	1	[      1]	dummy-surprises
707.5380062	1	85	0	85	Trial85	0	1000	0	0	1	[      1]	dummy-surprises
713.406208	1	86	0	86	Trial86	0	1000	0	0	1	[      1]	dummy-surprises
719.7297695	1	87	0	87	Trial87	0	1000	0	0	1	[      1]	dummy-surprises
725.8292899	1	88	0	88	Trial88	0	1000	0	0	1	[      1]	dummy-surprises
732.1677876	1	89	0	89	Trial89	0	1000	0	0	1	[      1]	dummy-surprises
737.5595072	1	90	0	90	Trial90	0	1000	0	0	1	[      1]	dummy-surprises
749.9825042	1	91	0	91	Trial91	0	1000	0	0	1	[      1]	dummy-surprises
756.0904924	1	92	0	92	Trial92	0	1000	0	0	1	[      1]	dummy-surprises
762.1908817	1	93	0	93	Trial93	0	1000	0	0	1	[      1]	dummy-surprises
768.6323521	1	94	0	94	Trial94	0	1000	0	0	1	[      1]	dummy-surprises
780.4744811	1	95	0	95	Trial95	0	1000	0	0	1	[      1]	dummy-surprises
786.5821769	1	96	0	96	Trial96	0	1000	0	0	1	[      1]	dummy-surprises
793.0164287	1	97	0	97	Trial97	0	1000	0	0	1	[      1]	dummy-surprises
799.1262102	1	98	0	98	Trial98	0	1000	0	0	1	[      1]	dummy-surprises
805.2229708	1	99	0	99	Trial99	0	1000	0	0	1	[      1]	dummy-surprises
817.5340788	1	100	0	100	Trial100	0	1000	0	0	1	[      1]	dummy-surprises
822.9258096	1	101	0	101	Trial101	0	1000	0	0	1	[      1]	dummy-surprises
829.0332335	1	102	0	102	Trial102	0	1000	0	0	1	[      1]	dummy-surprises
835.7144787	1	103	0	103	Trial103	0	1000	0	0	1	[      1]	dummy-surprises
841.685207	1	104	0	104	Trial104	0	1000	0	0	1	[      1]	dummy-surprises
854.1166279	1	105	0	105	Trial105	0	1000	0	0	1	[      1]	dummy-surprises
860.1041582	1	106	0	106	Trial106	0	1000	0	0	1	[      1]	dummy-surprises
866.3238242	1	107	0	107	Trial107	0	1000	0	0	1	[      1]	dummy-surprises
871.8275451	1	108	0	108	Trial108	0	1000	0	0	1	[      1]	dummy-surprises
884.4770489	1	109	0	109	Trial109	0	1000	0	0	1	[      1]	dummy-surprises
890.1022621	1	110	0	110	Trial110	0	1000	0	0	1	[      1]	dummy-surprises
896.2630373	1	111	0	111	Trial111	0	1000	0	0	1	[      1]	dummy-surprises
902.668489	1	112	0	112	Trial112	0	1000	0	0	1	[      1]	dummy-surprises
908.6564329	1	113	0	113	Trial113	0	1000	0	0	1	[      1]	dummy-surprises
914.8599689	1	114	0	114	Trial114	0	1000	0	0	1	[      1]	dummy-surprises
927.1703628	1	115	0	115	Trial115	0	1000	0	0	1	[      1]	dummy-surprises
932.8108517	1	116	0	116	Trial116	0	1000	0	0	1	[      1]	dummy-surprises
945.124466	1	117	0	117	Trial117	0	1000	0	0	1	[      1]	dummy-surprises
951.1104142	1	118	0	118	Trial118	0	1000	0	0	1	[      1]	dummy-surprises
957.1936266	1	119	0	119	Trial119	0	1000	0	0	1	[      1]	dummy-surprises
969.8691972	1	120	0	120	Trial120	0	1000	0	0	1	[      1]	dummy-surprises
975.9541705	1	121	0	121	Trial121	0	1000	0	0	1	[      1]	dummy-surprises
982.1814435	1	122	0	122	Trial122	0	1000	0	0	1	[      1]	dummy-surprises
988.0338213	1	123	0	123	Trial123	0	1000	0	0	1	[      1]	dummy-surprises
994.2533394	1	124	0	124	Trial124	0	1000	0	0	1	[      1]	dummy-surprises
999.7796247	1	125	0	125	Trial125	0	1000	0	0	1	[      1]	dummy-surprises
1006.214987	1	126	0	126	Trial126	0	1000	0	0	1	[      1]	dummy-surprises
1011.973266	1	127	0	127	Trial127	0	1000	0	0	1	[      2]	dummy-surprises
1018.759305	1	128	0	128	Trial128	0	1000	0	0	1	[      2]	dummy-surprises
1024.635387	1	129	0	129	Trial129	0	1000	0	0	1	[      2]	dummy-surprises
1030.949911	1	130	0	130	Trial130	0	1000	0	0	1	[      2]	dummy-surprises
1043.155952	1	131	0	131	Trial131	0	1000	0	0	1	[      2]	dummy-surprises
1049.248003	1	132	0	132	Trial132	0	1000	0	0	1	[      2]	dummy-surprises
1055.349526	1	133	0	133	Trial133	0	1000	0	0	1	[      2]	dummy-surprises
1061.0907	1	134	0	134	Trial134	0	1000	0	0	1	[      2]	dummy-surprises
1067.077959	1	135	0	135	Trial135	0	1000	0	0	1	[      2]	dummy-surprises
1079.731507	1	136	0	136	Trial136	0	1000	0	0	1	[      2]	dummy-surprises
34.7093683892385	1	1	0	1	Trial1	0	1000	0	0	1	[      1]	probes
40.6815909761979	1	2	0	2	Trial2	0	1000	0	0	1	[      1]	probes
46.7871334290654	1	3	0	3	Trial3	0	1000	0	0	1	[      1]	probes
65.314272594936	1	4	0	4	Trial4	0	1000	0	0	1	[      1]	probes
70.9424281804793	1	5	0	5	Trial5	0	1000	0	0	1	[      1]	probes
83.8333378628327	1	6	0	6	Trial6	0	1000	0	0	1	[      1]	probes
89.3505758800789	1	7	0	7	Trial7	0	1000	0	0	1	[      1]	probes
95.576920162727	1	8	0	8	Trial8	0	1000	0	0	1	[      1]	probes
114.20637481776	1	9	0	9	Trial9	0	1000	0	0	1	[      1]	probes
138.489578074093	1	10	0	10	Trial10	0	1000	0	0	1	[      1]	probes
150.218887359683	1	11	0	11	Trial11	0	1000	0	0	1	[      1]	probes
156.787002172914	1	12	0	12	Trial12	0	1000	0	0	1	[      1]	probes
162.639226373982	1	13	0	13	Trial13	0	1000	0	0	1	[      1]	probes
175.187165114024	1	14	0	14	Trial14	0	1000	0	0	1	[      1]	probes
181.168247690361	1	15	0	15	Trial15	0	1000	0	0	1	[      1]	probes
186.814743190062	1	16	0	16	Trial16	0	1000	0	0	1	[      1]	probes
192.8976938942	1	17	0	17	Trial17	0	1000	0	0	1	[      1]	probes
205.439727083949	1	18	0	18	Trial18	0	1000	0	0	1	[      1]	probes
