participant	trial_num	practice	task	condition	RSVP	RAP	probePos	probe_presence	surprise_sound	surprise_img	probe_response	probe_resp_time	first_fixation_time	trial_start_time	surprise_start_time	probe_start_time	trial_end_time	trial_duration	actualEventTimes	plannedEventTimes	date	framerate	marker_vol	RAP_vol
12	1	FALSE	NN	a	['G', 'E', 'M', 'P', 'V', 'C', 'T', 'J', 'W', 'B', 'K', 'U', 'Y', 'A', 'H', 'R']	[944, 904, 1224, 1456, 2245, 829, 1888, 1029, 2448, 760, 1122, 2059, 2670, 697, 986, 1587]	9	Absent	NA	NA	ABSENT	0.8420240879058838	1.9073486328125e-6	1.987144947052002	2.6871549605923244	3.037156867920957	6.103869915008545	4.116724967956543	[0.022244930267333984, 0.12207412719726562, 1.0871939659118652, 1.2731220722198486, 2.023853063583374, 2.140850067138672, 2.2576210498809814, 2.37438702583313, 2.4911000728607178, 2.608031988143921, 2.7249200344085693, 2.841541051864624, 2.958254098892212, 3.075221061706543, 3.1750991344451904, 3.2917819023132324, 3.408653974533081, 3.5254950523376465, 3.6422951221466064, 3.7590980529785156, 3.8928120136260986, 4.103869915008545]	[1.9073486328125e-06, 0.11666857400863281, 1.0996685740086327, 1.2663685740086328, 2.0163685740086326, 2.1330352406686326, 2.2497019073286326, 2.3663685739886327, 2.4830352406486327, 2.5997019073086327, 2.7163685739686327, 2.8330352406286328, 2.949701907288633, 3.066368573948633, 3.183035240608633, 3.299701907268633, 3.416368573928633, 3.533035240588633, 3.649701907248633, 3.766368573908633, 3.883035240568633, 4.116368573901966]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	2	FALSE	NN	a	['T', 'R', 'H', 'K', 'M', 'A', 'N', 'V', 'E', 'Z', 'Y', 'G', 'U', 'C', 'S', 'B']	[1888, 1587, 986, 1122, 1224, 697, 1335, 2245, 904, 2911, 2670, 944, 2059, 829, 1731, 760]	12	Absent	NA	NA	ABSENT	0.8704180717468262	6.089300870895386	8.100538969039917	9.150545883118712	9.500547790447344	12.220237970352173	4.119699001312256	[6.1115429401397705, 6.228513956069946, 7.203558921813965, 7.379756927490234, 8.130515098571777, 8.24742603302002, 8.36397910118103, 8.480777025222778, 8.597718954086304, 8.71443510055542, 8.830994129180908, 8.947942972183228, 9.064894914627075, 9.181627988815308, 9.298434019088745, 9.41543197631836, 9.532074928283691, 9.648858070373535, 9.765605926513672, 9.88243293762207, 9.999231100082397, 10.22023606300354]	[6.116368573901966, 6.233035240561966, 7.216035240561966, 7.382735240561965, 8.132735240561965, 8.249401907221966, 8.366068573881966, 8.482735240541967, 8.599401907201967, 8.716068573861968, 8.832735240521968, 8.949401907181969, 9.066068573841969, 9.18273524050197, 9.29940190716197, 9.41606857382197, 9.532735240481971, 9.649401907141971, 9.766068573801972, 9.882735240461972, 9.999401907121973, 10.232735240455305]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	3	FALSE	NA	a	['B', 'A', 'P', 'G', 'K', 'H', 'S', 'E', 'U', 'W', 'X', 'C', 'N', 'V', 'T', 'R']	[760, 697, 1456, 944, 1122, 986, 1731, 904, 2059, 2448, 4000, 829, 1335, 2245, 1888, 1587]	11	Present	NA	NA	PRESENT	0.7387640476226807	12.21275281906128	14.216818809509276	15.150160249020969	15.5001621563496	18.336604118347168	4.119785308837891	[12.235008001327515, 12.351706981658936, 13.319930076599121, 13.502753019332886, 14.253586053848267, 14.370520114898682, 14.487154960632324, 14.603941917419434, 14.720995903015137, 14.837598085403442, 14.95433497428894, 15.071043968200684, 15.18801212310791, 15.304959058761597, 15.421662092208862, 15.538396120071411, 15.655002117156982, 15.771941900253296, 15.88867712020874, 16.005435943603516, 16.12238097190857, 16.336605072021484]	[12.232735240455305, 12.349401907115306, 13.332401907115306, 13.499101907115307, 14.249101907115307, 14.365768573775307, 14.482435240435308, 14.599101907095308, 14.715768573755309, 14.83243524041531, 14.94910190707531, 15.06576857373531, 15.18243524039531, 15.299101907055311, 15.415768573715312, 15.532435240375312, 15.649101907035313, 15.765768573695313, 15.882435240355314, 15.999101907015314, 16.115768573675314, 16.34910190700865]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	4	FALSE	AA	a	['V', 'J', 'G', 'B', 'Z', 'E', 'T', 'surprise', 'U', 'W', 'X', 'M', 'A', 'P', 'R', 'N']	[2245, 1029, 944, 760, 2911, 904, 1888, 'stimAuditory/all_stimAuditory/112.wav', 2059, 2448, 4000, 1224, 697, 1456, 1587, 1335]	11	Present	stimAuditory/all_stimAuditory/112.wav	NA	ABSENT	1.4722919464111328	18.33600497245789	20.333314895629883	21.266656335141572	21.616658242470205	24.4529709815979	4.119656085968018	[18.358247995376587, 18.45805311203003, 19.436295986175537, 19.6095929145813, 20.3599910736084, 20.476882934570312, 20.593761920928955, 20.71047306060791, 20.82721996307373, 20.943958044052124, 21.0609610080719, 21.17754101753235, 21.294475078582764, 21.411107063293457, 21.52815294265747, 21.644894123077393, 21.761500120162964, 21.8784339427948, 21.995075941085815, 22.11203098297119, 22.228706121444702, 22.4529709815979]	[18.34910190700865, 18.465768573668647, 19.448768573668648, 19.615468573668647, 20.365468573668647, 20.482135240328645, 20.598801906988644, 20.715468573648643, 20.83213524030864, 20.94880190696864, 21.06546857362864, 21.182135240288638, 21.298801906948636, 21.415468573608635, 21.532135240268634, 21.648801906928632, 21.76546857358863, 21.88213524024863, 21.99880190690863, 22.115468573568627, 22.232135240228626, 22.46546857356196]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	5	FALSE	NN	a	['U', 'W', 'P', 'R', 'V', 'B', 'Z', 'J', 'K', 'Y', 'A', 'M', 'H', 'G', 'C', 'E']	[2059, 2448, 1456, 1587, 2245, 760, 2911, 1029, 1122, 2670, 697, 1224, 986, 944, 829, 904]	8	Absent	NA	NA	ABSENT	0.9089109897613524	24.442314863204956	26.44968295097351	27.033025344179517	27.38302725150815	30.569338083267212	4.119655132293701	[24.464558124542236, 24.581207990646362, 25.552662134170532, 25.732528924942017, 26.48329210281372, 26.600045919418335, 26.7167809009552, 26.8336079120636, 26.950298070907593, 27.06725001335144, 27.183865070343018, 27.30086898803711, 27.41774606704712, 27.53453493118286, 27.651160955429077, 27.76809000968933, 27.88477396965027, 28.001629114151, 28.11833691596985, 28.23526906967163, 28.351855039596558, 28.569337129592896]	[24.46546857356196, 24.58213524022196, 25.56513524022196, 25.731835240221958, 26.481835240221958, 26.598501906881957, 26.715168573541956, 26.831835240201954, 26.948501906861953, 27.06516857352195, 27.18183524018195, 27.29850190684195, 27.415168573501948, 27.531835240161946, 27.648501906821945, 27.765168573481944, 27.881835240141942, 27.99850190680194, 28.11516857346194, 28.23183524012194, 28.348501906781937, 28.58183524011527]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	6	FALSE	NV	a	['P', 'W', 'J', 'G', 'R', 'C', 'S', 'A', 'U', 'H', 'E', 'M', 'Z', 'X', 'N', 'K']	[1456, 2448, 1029, 944, 1587, 829, 1731, 697, 2059, 986, 904, 1224, 2911, 4000, 1335, 1122]	14	Present	NA	NA	PRESENT	0.4740571975708008	30.565544843673703	32.56592583656311	33.84926632238049	34.19926822970912	36.68570303916931	4.119777202606201	[30.587788105010986, 30.704576015472412, 31.66902804374695, 31.855642080307007, 32.60643792152405, 32.72346591949463, 32.83996391296387, 32.95699596405029, 33.07359004020691, 33.17355489730835, 33.29042911529541, 33.4071319103241, 33.523967027664185, 33.64075994491577, 33.757548093795776, 33.87434697151184, 33.99114799499512, 34.10790395736694, 34.224738121032715, 34.3414740562439, 34.458357095718384, 34.68570303916931]	[30.58183524011527, 30.69850190677527, 31.68150190677527, 31.84820190677527, 32.59820190677527, 32.714868573435275, 32.83153524009528, 32.94820190675528, 33.06486857341528, 33.181535240075284, 33.29820190673529, 33.41486857339529, 33.53153524005529, 33.64820190671529, 33.764868573375296, 33.8815352400353, 33.9982019066953, 34.1148685733553, 34.231535240015305, 34.34820190667531, 34.46486857333531, 34.69820190666864]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	7	FALSE	NA	a	['A', 'E', 'P', 'U', 'B', 'N', 'C', 'X', 'W', 'T', 'Z', 'R', 'H', 'M', 'V', 'S']	[697, 904, 1456, 2059, 760, 1335, 829, 4000, 2448, 1888, 2911, 1587, 986, 1224, 2245, 1731]	8	Present	NA	NA	PRESENT	0.5584990978240967	36.67201280593872	38.68219590187073	39.265537341402414	39.61553829505673	42.80207109451294	4.119875192642212	[36.694256067276, 36.810949087142944, 37.78539490699768, 37.96225690841675, 38.71281599998474, 38.82969093322754, 38.94673299789429, 39.063292026519775, 39.18000292778015, 39.296924114227295, 39.41405701637268, 39.53057599067688, 39.64721393585205, 39.76406192779541, 39.88092803955078, 39.997658014297485, 40.1143319606781, 40.23123598098755, 40.3480589389801, 40.464903116226196, 40.581587076187134, 40.802069902420044]	[36.69820190666864, 36.814868573328646, 37.79786857332864, 37.96456857332864, 38.71456857332864, 38.831235239988644, 38.947901906648646, 39.06456857330865, 39.18123523996865, 39.29790190662865, 39.414568573288655, 39.53123523994866, 39.64790190660866, 39.76456857326866, 39.881235239928664, 39.997901906588666, 40.11456857324867, 40.23123523990867, 40.34790190656867, 40.464568573228675, 40.58123523988868, 40.81456857322201]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	8	FALSE	NV	a	['W', 'P', 'H', 'G', 'J', 'Z', 'T', 'E', 'Y', 'R', 'C', 'K', 'S', 'X', 'V', 'M']	[2448, 1456, 986, 944, 1029, 2911, 1888, 904, 2670, 1587, 829, 1122, 1731, 4000, 2245, 1224]	14	Present	NA	NA	PRESENT	0.3310408592224121	42.79503798484802	44.79891085624695	46.082251342064325	46.432254203067274	48.91843795776367	4.119527101516724	[42.817281007766724, 42.93415307998657, 43.90176200866699, 44.08537197113037, 44.836018085479736, 44.95314311981201, 45.069741010665894, 45.18652892112732, 45.30359411239624, 45.41999101638794, 45.53693389892578, 45.653696060180664, 45.770358085632324, 45.887346029281616, 46.00397205352783, 46.12089991569519, 46.237653970718384, 46.35431909561157, 46.47123312950134, 46.58795404434204, 46.70480489730835, 46.91843795776367]	[42.81456857322201, 42.931235239882014, 43.91423523988201, 44.08093523988201, 44.83093523988201, 44.94760190654201, 45.064268573202014, 45.180935239862016, 45.29760190652202, 45.41426857318202, 45.53093523984202, 45.647601906502025, 45.76426857316203, 45.88093523982203, 45.99760190648203, 46.114268573142034, 46.23093523980204, 46.34760190646204, 46.46426857312204, 46.58093523978204, 46.697601906442046, 46.93093523977538]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	9	FALSE	NV	a	['C', 'A', 'E', 'B', 'U', 'M', 'K', 'P', 'T', 'S', 'X', 'G', 'N', 'H', 'W', 'V']	[829, 697, 904, 760, 2059, 1224, 1122, 1456, 1888, 1731, 4000, 944, 1335, 986, 2448, 2245]	11	Present	NA	NA	PRESENT	0.424454927444458	48.90148496627808	50.91493797302246	51.84827822044125	52.19828012776989	55.03480410575867	4.119866132736206	[48.92372703552246, 49.040507078170776, 50.01812791824341, 50.19225811958313, 50.94254207611084, 51.059333086013794, 51.17629289627075, 51.29296803474426, 51.409868001937866, 51.526484966278076, 51.64343500137329, 51.76011300086975, 51.87681293487549, 51.993638038635254, 52.11057806015015, 52.2273530960083, 52.34404897689819, 52.46088004112244, 52.577646017074585, 52.69459509849548, 52.811290979385376, 53.03480291366577]	[48.93093523977538, 49.04760190643538, 50.03060190643538, 50.19730190643538, 50.94730190643538, 51.06396857309538, 51.18063523975538, 51.297301906415385, 51.41396857307539, 51.53063523973539, 51.64730190639539, 51.763968573055394, 51.880635239715396, 51.9973019063754, 52.1139685730354, 52.2306352396954, 52.347301906355405, 52.46396857301541, 52.58063523967541, 52.69730190633541, 52.813968572995414, 53.04730190632875]	2021_Jan_27_1232	59.93155666436618	1	0.375
12	10	FALSE	VV	a	['K', 'R', 'U', 'G', 'B', 'surprise', 'J', 'W', 'X', 'S', 'Y', 'C', 'E', 'N', 'M', 'Z']	[1122, 1587, 2059, 944, 760, 'stimAuditory/all_stimAuditory/213.wav', 1029, 2448, 4000, 1731, 2670, 829, 904, 1335, 1224, 2911]	9	Present	NA	NA	ABSENT	1.517030954360962	55.02463579177856	57.03143787384033	57.73144598003202	58.08144788736065	61.1511709690094	4.119733095169067	[55.04688000679016, 55.16378593444824, 56.1344940662384, 56.314945936203, 57.06581497192383, 57.18267202377319, 57.299362897872925, 57.41626000404358, 57.53283905982971, 57.64974308013916, 57.7666220664978, 57.88341307640076, 57.99995803833008, 58.116945028305054, 58.233640909194946, 58.35032391548157, 58.46712398529053, 58.584208965301514, 58.700921058654785, 58.81757593154907, 58.93449091911316, 59.15117001533508]	[55.04730190632875, 55.16396857298875, 56.14696857298875, 56.313668572988746, 57.063668572988746, 57.18033523964875, 57.29700190630875, 57.41366857296875, 57.530335239628755, 57.64700190628876, 57.76366857294876, 57.88033523960876, 57.997001906268764, 58.113668572928766, 58.23033523958877, 58.34700190624877, 58.46366857290877, 58.580335239568775, 58.69700190622878, 58.81366857288878, 58.93033523954878, 59.163668572882116]	2021_Jan_27_1232	59.93155666436618	1	0.375
